date	y
2020-01-24	10.00
2020-01-25	11.00
2020-01-28	4.00
2020-01-30	18.00
2020-01-31	4.00
2020-02-02	1.00
2020-02-04	8.00
2020-02-05	9.00
2020-02-08	5.00
2020-02-22	8.00
2020-02-27	3.00
2020-02-28	22.00
2020-02-29	18.00
2020-03-02	19.00
2020-03-03	43.00
2020-03-04	71.00
2020-03-05	42.00
2020-03-06	43.00
2020-03-07	38.00
2020-03-08	96.00
2020-03-09	99.00
2020-03-10	177.00
2020-03-11	181.00
2020-03-12	152.00
2020-03-13	155.00
2020-03-14	194.00
2020-03-15	212.00
2020-03-16	258.00
2020-03-17	323.00
2020-03-18	487.00
2020-03-19	692.00
2020-03-20	1175.00
2020-03-21	1258.00
2020-03-22	1481.00
2020-03-23	1294.00
2020-03-24	923.00
2020-03-25	1112.00
2020-03-26	910.00
2020-03-27	941.00
2020-03-28	649.00
2020-03-29	495.00
2020-03-30	636.00
2020-03-31	609.00
2020-04-01	497.00
2020-04-02	326.00
2020-04-03	344.00
2020-04-04	375.00
2020-04-05	309.00
2020-04-06	308.00
2020-04-07	258.00
2020-04-08	279.00
2020-04-09	322.00
2020-04-10	247.00
2020-04-11	213.00
2020-04-12	102.00
2020-04-13	284.00
2020-04-14	233.00
2020-04-15	155.00
2020-04-16	141.00
2020-04-17	91.00
2020-04-18	61.00
2020-04-19	43.00
2020-04-20	47.00
2020-04-21	69.00
2020-04-22	35.00
2020-04-23	43.00
2020-04-24	13.00
2020-04-25	21.00
2020-04-26	14.00
2020-04-27	77.00
2020-04-28	41.00
2020-04-29	78.00
2020-04-30	47.00
2020-05-01	25.00
2020-05-02	127.00
2020-05-03	35.00
2020-05-04	39.00
2020-05-05	74.00
2020-05-06	70.00
2020-05-07	68.00
2020-05-08	42.00
2020-05-09	71.00
2020-05-10	76.00
2020-05-11	52.00
2020-05-12	130.00
2020-05-13	47.00
2020-05-14	47.00
2020-05-15	36.00
2020-05-16	35.00
2020-05-17	46.00
2020-05-18	23.00
2020-05-19	52.00
2020-05-20	46.00
2020-05-21	13.00
2020-05-23	24.00
2020-05-24	32.00
2020-05-25	51.00
2020-05-26	13.00
2020-05-27	144.00
2020-05-28	181.00
2020-05-29	52.00
2020-05-30	97.00
2020-05-31	65.00
2020-06-01	61.00
2020-06-03	20.00
2020-06-04	9.00
2020-06-05	52.00
2020-06-06	36.00
2020-06-07	25.00
2020-06-08	36.00
2020-06-09	117.00
2020-06-10	79.00
2020-06-11	122.00
2020-06-12	147.00
2020-06-13	143.00
2020-06-14	155.00
2020-06-15	204.00
2020-06-16	202.00
2020-06-17	161.00
2020-06-18	69.00
2020-06-19	269.00
2020-06-20	173.00
2020-06-21	120.00
2020-06-22	151.00
2020-06-23	353.00
2020-06-24	505.00
2020-06-25	585.00
2020-06-26	713.00
2020-06-27	545.00
2020-06-28	681.00
2020-06-29	850.00
2020-06-30	807.00
2020-07-01	727.00
2020-07-02	966.00
2020-07-03	908.00
2020-07-04	1351.00
2020-07-05	1377.00
2020-07-06	1698.00
2020-07-07	2194.00
2020-07-08	2057.00
2020-07-09	1392.00
2020-07-10	1586.00
2020-07-11	1288.00
2020-07-12	1473.00
2020-07-13	3484.00
2020-07-14	2981.00
2020-07-15	2610.00
2020-07-16	2872.00
2020-07-17	3438.00
