date	y
2020-02-26	10.00
2020-02-27	8.00
2020-02-28	25.00
2020-03-02	8.00
2020-03-03	54.00
2020-03-04	75.00
2020-03-05	47.00
2020-03-06	87.00
2020-03-07	88.00
2020-03-08	64.00
2020-03-09	146.00
2020-03-10	92.00
2020-03-11	132.00
2020-03-12	69.00
2020-03-13	169.00
2020-03-14	67.00
2020-03-15	104.00
2020-03-16	226.00
2020-03-17	143.00
2020-03-18	127.00
2020-03-19	175.00
2020-03-20	97.00
2020-03-21	78.00
2020-03-22	85.00
2020-03-23	122.00
2020-03-24	136.00
2020-03-25	191.00
2020-03-26	233.00
2020-03-27	160.00
2020-03-28	67.00
2020-03-29	144.00
2020-03-30	179.00
2020-03-31	168.00
2020-04-01	176.00
2020-04-02	85.00
2020-04-03	94.00
2020-04-04	18.00
2020-04-05	52.00
2020-04-06	132.00
2020-04-07	39.00
2020-04-08	54.00
2020-04-09	77.00
2020-04-10	30.00
2020-04-11	48.00
2020-04-12	20.00
2020-04-13	65.00
2020-04-14	76.00
2020-04-15	53.00
2020-04-16	10.00
2020-04-17	41.00
2020-04-18	46.00
2020-04-19	36.00
2020-04-20	16.00
2020-04-21	110.00
2020-04-22	15.00
2020-04-23	20.00
2020-04-24	26.00
2020-04-25	7.00
2020-04-26	14.00
2020-04-27	32.00
2020-04-28	56.00
2020-04-29	40.00
2020-04-30	45.00
2020-05-02	10.00
2020-05-04	31.00
2020-05-05	20.00
2020-05-06	36.00
2020-05-07	14.00
2020-05-08	18.00
2020-05-11	5.00
2020-05-13	5.00
2020-05-14	68.00
2020-05-15	69.00
2020-05-16	27.00
2020-05-17	38.00
2020-05-18	13.00
2020-05-20	8.00
2020-05-22	8.00
2020-05-23	43.00
2020-05-24	29.00
2020-06-05	8.00
2020-06-18	19.00
2020-06-30	22.00
2020-07-12	18.00
2020-07-13	37.00
2020-07-14	16.00
2020-07-15	13.00
2020-07-17	34.00
2020-07-19	46.00
2020-07-22	69.00
2020-07-23	11.00
2020-07-25	15.00
2020-07-29	13.00
