date	y
2020-02-06	25.00
2020-02-14	17.00
2020-02-29	7.00
2020-03-01	33.00
2020-03-02	76.00
2020-03-03	63.00
2020-03-04	108.00
2020-03-05	191.00
2020-03-06	202.00
2020-03-07	87.00
2020-03-08	9.00
2020-03-09	79.00
2020-03-10	8.00
2020-03-11	41.00
2020-03-12	29.00
2020-03-13	63.00
2020-03-14	54.00
2020-03-15	66.00
2020-03-16	48.00
2020-03-17	126.00
2020-03-18	121.00
2020-03-19	124.00
2020-03-20	109.00
2020-03-21	34.00
2020-03-22	177.00
2020-03-23	235.00
2020-03-24	399.00
2020-03-25	321.00
2020-03-26	164.00
2020-03-27	217.00
2020-03-28	350.00
2020-03-29	335.00
2020-03-30	512.00
2020-03-31	311.00
2020-04-01	120.00
2020-04-02	51.00
2020-04-03	151.00
2020-04-04	97.00
2020-04-05	142.00
2020-04-06	226.00
2020-04-07	400.00
2020-04-08	204.00
2020-04-09	258.00
2020-04-10	83.00
2020-04-11	354.00
2020-04-12	18.00
2020-04-13	64.00
2020-04-14	283.00
2020-04-15	44.00
2020-04-16	106.00
2020-04-17	227.00
2020-04-18	165.00
2020-04-19	131.00
2020-04-20	12.00
2020-04-21	14.00
2020-04-22	88.00
2020-04-23	125.00
2020-04-24	29.00
2020-04-26	69.00
2020-04-27	182.00
2020-04-28	46.00
2020-04-29	205.00
2020-04-30	28.00
2020-05-01	93.00
2020-05-02	115.00
2020-05-03	52.00
2020-05-04	29.00
2020-05-05	59.00
2020-05-06	70.00
2020-05-07	117.00
2020-05-08	166.00
2020-05-09	121.00
2020-05-10	86.00
2020-05-11	87.00
2020-05-12	49.00
2020-05-13	64.00
2020-05-14	78.00
2020-05-15	75.00
2020-05-16	112.00
2020-05-17	38.00
2020-05-18	7.00
2020-05-19	12.00
2020-05-20	89.00
2020-05-21	56.00
2020-05-22	22.00
2020-05-23	19.00
2020-05-25	10.00
2020-05-26	8.00
2020-05-28	43.00
2020-06-01	8.00
2020-06-02	20.00
2020-06-03	19.00
2020-06-04	10.00
2020-06-05	12.00
2020-06-07	8.00
2020-06-09	13.00
2020-06-10	13.00
2020-06-11	39.00
2020-06-12	14.00
2020-06-15	49.00
2020-06-16	103.00
2020-06-17	103.00
2020-06-18	39.00
2020-06-19	18.00
2020-06-20	50.00
2020-06-21	12.00
2020-06-22	14.00
2020-06-23	59.00
2020-06-26	41.00
2020-06-28	15.00
2020-06-29	38.00
2020-06-30	221.00
2020-07-01	15.00
2020-07-02	24.00
2020-07-03	32.00
2020-07-05	11.00
2020-07-06	50.00
2020-07-07	50.00
2020-07-08	10.00
2020-07-09	26.00
2020-07-10	73.00
2020-07-11	23.00
2020-07-12	13.00
2020-07-14	88.00
2020-07-15	18.00
2020-07-16	20.00
2020-07-17	87.00
2020-07-18	51.00
2020-07-19	25.00
2020-07-20	106.00
2020-07-21	152.00
2020-07-22	144.00
2020-07-23	243.00
2020-07-24	190.00
2020-07-25	67.00
2020-07-26	61.00
2020-07-27	157.00
2020-07-29	99.00
2020-07-30	186.00
2020-07-31	230.00
2020-08-01	435.00
2020-08-02	85.00
2020-08-03	406.00
2020-08-04	407.00
2020-08-06	196.00
2020-08-07	254.00
2020-08-10	138.00
2020-08-11	14.00
2020-08-14	284.00
2020-08-16	16.00
2020-08-17	220.00
2020-08-18	41.00
2020-08-19	60.00
2020-08-20	25.00
2020-08-21	50.00
2020-08-24	112.00
2020-08-26	61.00
2020-08-28	147.00
2020-08-30	26.00
2020-08-31	147.00
2020-09-01	44.00
2020-09-02	49.00
2020-09-03	19.00
2020-09-04	132.00
2020-09-05	93.00
2020-09-06	38.00
2020-09-07	138.00
2020-09-08	376.00
2020-09-09	164.00
2020-09-10	15.00
2020-09-11	57.00
2020-09-12	55.00
2020-09-13	39.00
2020-09-14	227.00
2020-09-15	474.00
2020-09-16	410.00
2020-09-17	379.00
2020-09-18	450.00
2020-09-19	411.00
2020-09-20	197.00
2020-09-21	59.00
2020-09-22	719.00
2020-09-23	838.00
2020-09-24	165.00
2020-09-25	62.00
2020-09-30	78.00
2020-10-01	41.00
2020-10-02	65.00
2020-10-03	123.00
2020-10-04	41.00
2020-10-05	70.00
2020-10-06	664.00
2020-10-07	404.00
2020-10-08	389.00
2020-10-09	464.00
2020-10-12	423.00
2020-10-13	186.00
2020-10-14	176.00
2020-10-15	266.00
2020-10-16	60.00
2020-10-18	704.00
2020-10-19	1626.00
2020-10-20	332.00
2020-10-21	118.00
2020-10-22	256.00
2020-10-23	2095.00
2020-10-24	61.00
2020-10-25	232.00
2020-10-26	1733.00
2020-10-27	380.00
2020-10-28	127.00
2020-10-29	105.00
2020-10-30	23.00
2020-10-31	317.00
2020-11-01	20.00
2020-11-02	105.00
2020-11-03	121.00
2020-11-04	113.00
2020-11-05	36.00
2020-11-06	63.00
2020-11-07	21.00
2020-11-08	134.00
2020-11-10	204.00
2020-11-11	59.00
2020-11-12	125.00
2020-11-13	665.00
2020-11-14	605.00
2020-11-15	125.00
2020-11-16	386.00
2020-11-17	362.00
2020-11-18	42.00
2020-11-19	131.00
2020-11-20	96.00
2020-11-22	26.00
2020-11-23	98.00
2020-11-24	419.00
2020-11-25	150.00
2020-11-26	112.00
2020-11-27	469.00
2020-11-28	146.00
2020-11-29	69.00
2020-11-30	536.00
2020-12-01	179.00
2020-12-02	155.00
2020-12-03	75.00
2020-12-04	31.00
2020-12-06	123.00
2020-12-07	40.00
2020-12-08	78.00
2020-12-09	158.00
2020-12-10	133.00
2020-12-11	1440.00
2020-12-12	589.00
2020-12-13	121.00
2020-12-14	1505.00
2020-12-15	429.00
2020-12-16	276.00
2020-12-17	502.00
2020-12-18	760.00
2020-12-19	515.00
2020-12-20	181.00
2020-12-21	392.00
2020-12-22	229.00
2020-12-23	275.00
2020-12-24	186.00
2020-12-26	75.00
2020-12-27	18.00
2020-12-28	855.00
2020-12-29	502.00
2020-12-30	633.00
2020-12-31	702.00
2021-01-01	284.00
2021-01-02	505.00
2021-01-03	564.00
2021-01-04	1312.00
2021-01-05	1230.00
2021-01-06	761.00
2021-01-07	697.00
2021-01-08	1257.00
2021-01-09	858.00
2021-01-10	590.00
2021-01-11	2952.00
2021-01-12	2010.00
2021-01-13	2007.00
2021-01-14	1157.00
2021-01-15	1781.00
2021-01-16	1755.00
2021-01-17	422.00
2021-01-18	3607.00
2021-01-19	3574.00
2021-01-20	3858.00
2021-01-21	3976.00
2021-01-22	4557.00
2021-01-23	2406.00
2021-01-24	982.00
2021-01-25	4987.00
2021-01-26	2697.00
2021-01-27	2609.00
2021-01-28	3927.00
2021-01-29	4151.00
2021-01-30	2257.00
2021-01-31	1203.00
2021-02-01	5274.00
2021-02-02	3382.00
2021-02-03	3144.00
2021-02-04	4658.00
2021-02-05	2835.00
2021-02-06	4727.00
2021-02-07	897.00
2021-02-08	3973.00
2021-02-09	3335.00
2021-02-10	2753.00
2021-02-11	2674.00
2021-02-12	2702.00
2021-02-13	2225.00
2021-02-14	1713.00
2021-02-15	6089.00
2021-02-16	3656.00
2021-02-17	3291.00
2021-02-18	3472.00
2021-02-19	6185.00
2021-02-20	3259.00
2021-02-21	1882.00
2021-02-22	5153.00
2021-02-23	5647.00
2021-02-24	6086.00
2021-02-25	6381.00
2021-02-26	4821.00
2021-02-27	3321.00
2021-02-28	1931.00
2021-03-01	5396.00
2021-03-02	5472.00
2021-03-03	4747.00
2021-03-04	3966.00
2021-03-05	6098.00
2021-03-06	2653.00
2021-03-07	2445.00
2021-03-08	9162.00
2021-03-09	7039.00
2021-03-10	6589.00
2021-03-11	7442.00
2021-03-12	6546.00
2021-03-13	4270.00
2021-03-14	2962.00
2021-03-15	7667.00
2021-03-16	6785.00
2021-03-17	7919.00
2021-03-18	6483.00
2021-03-19	8294.00
2021-03-20	5057.00
2021-03-21	3146.00
2021-03-22	9713.00
2021-03-23	12253.00
2021-03-24	6369.00
2021-03-25	7341.00
2021-03-26	8723.00
2021-03-27	5560.00
2021-03-28	5734.00
2021-03-29	11791.00
2021-03-30	10686.00
2021-03-31	6449.00
2021-04-01	7246.00
2021-04-02	9712.00
2021-04-03	4262.00
2021-04-04	3278.00
2021-04-05	1668.00
2021-04-06	8955.00
2021-04-07	9502.00
2021-04-08	7544.00
2021-04-09	8541.00
2021-04-10	4415.00
2021-04-11	3142.00
2021-04-12	8861.00
2021-04-13	8396.00
2021-04-14	9866.00
2021-04-15	7825.00
2021-04-16	7016.00
2021-04-17	6606.00
2021-04-18	3648.00
2021-04-19	9621.00
2021-04-20	10830.00
2021-04-21	7157.00
2021-04-22	7120.00
2021-04-23	6039.00
2021-04-24	3297.00
2021-04-25	3882.00
2021-04-26	7275.00
2021-04-27	7491.00
2021-04-28	7617.00
2021-04-29	10040.00
2021-04-30	7605.00
2021-05-01	4895.00
2021-05-02	8488.00
2021-05-03	10127.00
2021-05-04	7871.00
2021-05-05	6504.00
2021-05-06	6993.00
2021-05-07	6968.00
2021-05-08	6130.00
2021-05-09	4854.00
2021-05-10	7714.00
2021-05-11	8008.00
2021-05-12	9843.00
2021-05-13	3589.00
2021-05-14	11201.00
2021-05-15	5803.00
2021-05-16	4377.00
2021-05-17	10303.00
2021-05-18	10367.00
2021-05-19	9187.00
2021-05-20	8436.00
2021-05-21	9525.00
2021-05-22	4541.00
2021-05-23	3422.00
2021-05-24	3685.00
2021-05-25	6777.00
2021-05-26	7581.00
2021-05-27	6002.00
2021-05-28	6024.00
2021-05-29	4944.00
