date	y
2020-02-26	14.00
2020-02-28	14.00
2020-02-29	14.00
2020-03-01	15.00
2020-03-02	8.00
2020-03-03	10.00
2020-03-04	46.00
2020-03-05	24.00
2020-03-06	9.00
2020-03-09	109.00
2020-03-10	12.00
2020-03-11	16.00
2020-03-12	25.00
2020-03-13	57.00
2020-03-14	14.00
2020-03-16	88.00
2020-03-17	114.00
2020-03-18	127.00
2020-03-19	199.00
2020-03-20	191.00
2020-03-21	29.00
2020-03-22	128.00
2020-03-23	220.00
2020-03-24	212.00
2020-03-25	171.00
2020-03-26	164.00
2020-03-27	87.00
2020-03-28	74.00
2020-03-29	96.00
2020-03-30	143.00
2020-03-31	159.00
2020-04-01	251.00
2020-04-02	239.00
2020-04-03	193.00
2020-04-04	105.00
2020-04-05	67.00
2020-04-06	191.00
2020-04-07	184.00
2020-04-08	417.00
2020-04-09	257.00
2020-04-10	97.00
2020-04-11	54.00
2020-04-12	30.00
2020-04-13	287.00
2020-04-14	294.00
2020-04-15	269.00
2020-04-16	471.00
2020-04-17	394.00
2020-04-18	188.00
2020-04-19	73.00
2020-04-20	490.00
2020-04-21	164.00
2020-04-22	508.00
2020-04-23	337.00
2020-04-24	534.00
2020-04-25	191.00
2020-04-26	129.00
2020-04-27	289.00
2020-04-28	248.00
2020-04-29	305.00
2020-04-30	321.00
2020-05-01	65.00
2020-05-02	118.00
2020-05-03	80.00
2020-05-04	328.00
2020-05-05	234.00
2020-05-06	238.00
2020-05-07	70.00
2020-05-08	91.00
2020-05-09	110.00
2020-05-10	51.00
2020-05-11	115.00
2020-05-12	127.00
2020-05-13	105.00
2020-05-14	116.00
2020-05-15	91.00
2020-05-16	21.00
2020-05-17	87.00
2020-05-18	151.00
2020-05-19	112.00
2020-05-20	66.00
2020-05-21	226.00
2020-05-22	53.00
2020-05-23	23.00
2020-05-24	25.00
2020-05-25	89.00
2020-05-26	38.00
2020-05-27	153.00
2020-05-28	99.00
2020-05-29	270.00
2020-05-30	106.00
2020-05-31	58.00
2020-06-01	363.00
2020-06-02	230.00
2020-06-03	330.00
2020-06-04	124.00
2020-06-05	177.00
2020-06-06	98.00
2020-06-07	37.00
2020-06-08	157.00
2020-06-09	289.00
2020-06-10	175.00
2020-06-11	171.00
2020-06-12	122.00
2020-06-13	83.00
2020-06-14	103.00
2020-06-15	253.00
2020-06-16	209.00
2020-06-17	129.00
2020-06-18	139.00
2020-06-19	80.00
2020-06-20	131.00
2020-06-21	66.00
2020-06-22	177.00
2020-06-23	105.00
2020-06-24	235.00
2020-06-25	184.00
2020-06-26	362.00
2020-06-27	127.00
2020-06-28	82.00
2020-06-29	169.00
2020-06-30	204.00
2020-07-01	376.00
2020-07-02	596.00
2020-07-03	356.00
2020-07-04	130.00
2020-07-05	87.00
2020-07-06	246.00
2020-07-07	103.00
2020-07-08	144.00
2020-07-09	168.00
2020-07-10	274.00
2020-07-11	62.00
2020-07-12	47.00
2020-07-13	102.00
2020-07-14	41.00
2020-07-15	67.00
2020-07-16	101.00
2020-07-17	113.00
2020-07-18	52.00
2020-07-19	37.00
2020-07-20	277.00
2020-07-21	119.00
2020-07-22	206.00
2020-07-23	201.00
2020-07-24	135.00
2020-07-25	38.00
2020-07-26	50.00
2020-07-27	270.00
2020-07-28	353.00
2020-07-29	320.00
2020-07-30	201.00
2020-07-31	299.00
2020-08-01	191.00
2020-08-02	59.00
2020-08-03	390.00
2020-08-04	296.00
2020-08-05	164.00
2020-08-06	164.00
2020-08-07	176.00
2020-08-08	65.00
2020-08-09	169.00
