date	y
2020-05-10	9.00
2020-06-21	50.00
2020-06-30	18.00
2020-07-21	15.00
2020-07-23	18.00
2020-07-25	16.00
2020-08-07	12.00
2020-08-10	21.00
2020-08-12	35.00
2020-08-13	23.00
2020-08-14	92.00
2020-08-15	34.00
2020-08-24	27.00
2020-09-02	29.00
2020-09-06	16.00
2020-09-09	32.00
2020-09-11	178.00
2020-09-12	18.00
2020-09-13	21.00
2020-09-14	19.00
2020-09-16	71.00
2020-09-17	32.00
2020-09-21	37.00
2020-09-24	37.00
2020-09-25	34.00
2020-09-28	29.00
2020-10-09	85.00
2020-10-14	18.00
2020-10-19	19.00
2020-10-22	17.00
2020-10-23	16.00
2020-10-24	22.00
2020-10-27	58.00
2020-11-03	24.00
2020-11-04	15.00
2020-11-24	19.00
2020-11-29	28.00
2020-12-01	23.00
2020-12-02	92.00
2020-12-04	44.00
2020-12-14	23.00
2020-12-22	171.00
2020-12-25	15.00
2020-12-26	132.00
2020-12-27	66.00
2020-12-28	95.00
2020-12-29	101.00
2020-12-30	43.00
2021-01-02	23.00
2021-01-04	23.00
2021-01-05	23.00
2021-01-06	49.00
2021-01-07	22.00
2021-01-11	82.00
2021-01-15	43.00
2021-01-16	37.00
2021-01-18	48.00
2021-01-20	53.00
2021-01-21	67.00
2021-01-22	24.00
2021-01-26	30.00
2021-02-01	60.00
2021-02-03	60.00
2021-02-05	26.00
2021-02-09	67.00
