date	y
2020-01-03	1.00
2020-01-05	2.00
2020-01-08	6.00
2020-01-10	9.00
2020-01-11	7.00
2020-01-13	30.00
2020-01-14	3.00
2020-01-15	13.00
2020-01-16	13.00
2020-01-17	9.00
2020-01-18	28.00
2020-01-19	9.00
2020-01-20	64.00
2020-01-21	31.00
2020-01-22	74.00
2020-01-23	44.00
2020-01-24	68.00
2020-01-25	94.00
2020-01-26	154.00
2020-01-27	72.00
2020-01-28	92.00
2020-01-29	118.00
2020-01-30	128.00
2020-01-31	44.00
2020-02-01	105.00
2020-02-02	154.00
2020-02-03	99.00
2020-02-04	84.00
2020-02-05	101.00
2020-02-06	63.00
2020-02-07	55.00
2020-02-08	88.00
2020-02-09	33.00
2020-02-10	32.00
2020-02-11	39.00
2020-02-12	26.00
2020-02-13	29.00
2020-02-14	46.00
2020-02-15	47.00
2020-02-17	35.00
2020-02-18	5.00
2020-02-19	6.00
2020-02-20	33.00
2020-02-21	12.00
2020-02-22	8.00
2020-02-23	27.00
2020-02-24	38.00
2020-02-25	34.00
2020-02-26	22.00
2020-02-27	15.00
2020-02-28	44.00
2020-03-01	4.00
2020-03-02	180.00
2020-03-03	27.00
2020-03-04	1.00
2020-03-05	14.00
2020-03-06	17.00
2020-03-07	19.00
2020-03-10	14.00
2020-03-11	9.00
2020-03-12	52.00
2020-03-13	28.00
2020-03-14	7.00
2020-03-15	44.00
2020-03-16	34.00
2020-03-17	31.00
2020-03-18	50.00
2020-03-19	100.00
2020-03-20	50.00
2020-03-21	39.00
2020-03-22	39.00
2020-03-23	7.00
2020-03-24	61.00
2020-03-25	13.00
2020-03-29	1.00
2020-04-02	18.00
2020-04-11	4.00
2020-04-15	29.00
2020-04-16	5.00
2020-04-19	9.00
2020-04-20	5.00
2020-06-10	9.00
2020-06-11	18.00
2020-06-18	10.00
2020-07-15	10.00
2020-07-16	11.00
2020-07-22	56.00
2020-08-16	18.00
2020-08-27	85.00
2020-09-13	27.00
2020-09-24	29.00
2020-10-30	26.00
2020-12-14	24.00
2020-12-17	25.00
2020-12-18	23.00
2020-12-26	26.00
2021-01-02	68.00
2021-01-03	180.00
2021-01-04	90.00
2021-01-08	22.00
2021-01-15	25.00
2021-01-17	72.00
2021-01-24	30.00
2021-02-27	24.00
2021-03-17	30.00
2021-03-18	24.00
2021-03-19	24.00
2021-03-30	20.00
2021-03-31	20.00
2021-04-14	34.00
2021-04-17	69.00
2021-04-21	73.00
2021-04-22	37.00
2021-04-24	139.00
2021-04-26	32.00
2021-05-04	68.00
2021-05-13	64.00
2021-05-21	383.00
2021-05-22	83.00
2021-05-24	45.00
2021-05-25	166.00
2021-05-27	82.00
2021-05-29	44.00
2021-05-30	44.00
2021-05-31	46.00
2021-06-01	44.00
2021-06-06	43.00
2021-06-11	140.00
2021-06-14	35.00
2021-06-15	120.00
2021-06-16	38.00
2021-06-17	77.00
2021-06-18	76.00
2021-06-19	36.00
2021-06-20	37.00
2021-06-25	124.00
2021-06-26	44.00
2021-06-27	130.00
2021-07-01	83.00
2021-07-03	43.00
2021-07-04	165.00
2021-07-05	531.00
2021-07-07	80.00
2021-07-08	741.00
2021-07-10	81.00
2021-07-15	42.00
2021-07-17	120.00
2021-07-18	43.00
2021-07-19	43.00
