date	y
2020-03-22	10.00
2020-03-23	10.00
2020-03-25	10.00
2020-04-01	7.00
2020-04-11	7.00
2020-04-17	8.00
2020-04-27	9.00
2020-05-05	10.00
2020-05-12	7.00
2020-06-10	9.00
2020-07-11	14.00
2020-07-17	12.00
2020-07-18	12.00
2020-07-22	13.00
2020-07-27	14.00
2020-07-30	12.00
2020-08-05	19.00
2020-08-07	19.00
2020-08-08	31.00
2020-08-10	17.00
2020-08-13	19.00
2020-08-14	36.00
2020-08-16	17.00
2020-08-18	13.00
2020-08-19	15.00
2020-08-20	19.00
2020-08-21	17.00
2020-08-26	20.00
2020-08-27	21.00
2020-09-02	17.00
2020-09-04	21.00
2020-09-14	20.00
2020-09-16	17.00
2020-09-17	21.00
2020-09-20	20.00
2020-09-22	20.00
2020-09-23	42.00
2020-09-27	21.00
2020-09-28	40.00
2020-09-29	41.00
2020-09-30	20.00
2020-10-02	20.00
2020-10-04	20.00
2020-10-05	22.00
2020-10-06	22.00
2020-10-08	16.00
2020-10-10	22.00
2020-10-13	20.00
2020-10-15	21.00
2020-10-17	21.00
2020-10-18	24.00
2020-10-20	19.00
2020-10-21	21.00
2020-10-22	25.00
2020-10-24	19.00
2020-10-26	24.00
2020-10-27	22.00
2020-10-29	22.00
2020-10-30	24.00
2020-10-31	20.00
2020-11-01	23.00
2020-11-02	22.00
2020-11-04	24.00
2020-11-05	15.00
2020-11-06	25.00
2020-11-07	23.00
2020-11-08	24.00
2020-11-10	23.00
2020-11-11	19.00
2020-11-12	25.00
2020-11-13	25.00
2020-11-14	28.00
2020-11-15	22.00
2020-11-16	24.00
2020-12-28	621.00
2020-12-29	90.00
2021-01-22	100.00
2021-01-23	129.00
2021-01-24	124.00
2021-01-25	120.00
2021-01-26	110.00
2021-01-27	124.00
