date	y
2020-03-01	4.00
2020-03-03	18.00
2020-03-04	18.00
2020-03-05	10.00
2020-03-07	8.00
2020-03-08	6.00
2020-03-10	37.00
2020-03-11	9.00
2020-03-13	149.00
2020-03-14	68.00
2020-03-15	38.00
2020-03-16	85.00
2020-03-17	105.00
2020-03-18	6.00
2020-03-19	83.00
2020-03-20	267.00
2020-03-22	30.00
2020-03-23	166.00
2020-03-24	122.00
2020-03-25	103.00
2020-03-26	12.00
2020-03-29	137.00
2020-03-30	134.00
2020-04-01	49.00
2020-04-02	98.00
2020-04-03	110.00
2020-04-04	208.00
2020-04-05	150.00
2020-04-06	121.00
2020-04-07	29.00
2020-04-09	171.00
2020-04-10	217.00
2020-04-11	60.00
2020-04-12	108.00
2020-04-14	33.00
2020-04-15	132.00
2020-04-16	41.00
2020-04-17	308.00
2020-04-20	129.00
2020-04-21	148.00
2020-04-22	132.00
2020-04-23	31.00
2020-04-24	45.00
2020-04-26	66.00
2020-04-27	47.00
2020-04-28	136.00
2020-04-29	28.00
2020-05-02	119.00
2020-05-03	75.00
2020-05-04	74.00
2020-05-05	153.00
2020-05-06	33.00
2020-05-07	43.00
2020-05-08	142.00
2020-05-09	33.00
2020-05-11	45.00
2020-05-12	8.00
2020-05-13	63.00
2020-05-14	33.00
2020-05-15	48.00
2020-05-16	25.00
2020-05-17	9.00
2020-05-18	34.00
2020-05-19	36.00
2020-05-20	67.00
2020-05-21	32.00
2020-05-22	38.00
2020-05-23	27.00
2020-05-25	48.00
2020-05-26	159.00
2020-05-27	46.00
2020-05-28	18.00
2020-05-31	17.00
2020-06-03	19.00
2020-06-05	13.00
2020-06-12	11.00
2020-06-13	9.00
2020-06-21	22.00
2020-08-08	11.00
2020-08-10	38.00
2020-08-11	9.00
2020-08-13	31.00
2020-08-15	30.00
2020-08-17	18.00
2020-08-18	40.00
2020-08-21	18.00
2020-08-22	34.00
2020-08-23	29.00
2020-08-24	42.00
2020-08-25	12.00
2020-08-30	21.00
2020-08-31	44.00
2020-09-01	44.00
2020-09-06	24.00
2020-09-08	34.00
2020-09-10	204.00
2020-09-13	48.00
2020-09-15	68.00
2020-09-17	58.00
2020-09-18	69.00
2020-09-20	151.00
2020-09-21	52.00
2020-09-22	218.00
2020-09-23	187.00
2020-09-24	238.00
2020-09-25	197.00
2020-09-26	152.00
2020-09-27	111.00
2020-09-28	193.00
2020-09-29	289.00
2020-09-30	305.00
2020-10-01	340.00
2020-10-02	230.00
2020-10-03	340.00
2020-10-04	298.00
2020-10-05	416.00
2020-10-06	250.00
2020-10-07	480.00
2020-10-08	371.00
2020-10-09	376.00
2020-10-10	390.00
2020-10-11	181.00
2020-10-13	361.00
2020-10-15	254.00
2020-10-18	40.00
2020-10-22	17.00
2020-10-23	510.00
2020-10-24	138.00
2020-10-25	259.00
2020-10-26	281.00
2020-10-30	275.00
2020-10-31	308.00
2020-11-01	16.00
2020-11-12	18.00
2020-11-13	36.00
2020-11-14	75.00
2020-11-15	23.00
2020-11-16	84.00
2020-11-17	370.00
2020-11-18	404.00
2020-11-19	90.00
2020-11-23	21.00
2020-11-25	43.00
2020-11-26	416.00
2020-11-27	415.00
2020-11-28	770.00
2020-11-29	130.00
2020-11-30	42.00
2020-12-01	151.00
2020-12-02	294.00
2020-12-03	389.00
2020-12-04	255.00
2020-12-05	63.00
2020-12-06	43.00
2020-12-07	22.00
2020-12-08	21.00
2020-12-09	22.00
2020-12-10	35.00
2020-12-11	734.00
2020-12-12	346.00
2020-12-13	145.00
2020-12-14	200.00
2020-12-15	181.00
2020-12-16	89.00
2020-12-17	102.00
2020-12-18	180.00
2020-12-19	159.00
2020-12-21	370.00
2020-12-22	317.00
2020-12-23	169.00
2020-12-25	83.00
2020-12-26	135.00
2020-12-27	87.00
2020-12-28	497.00
2020-12-29	179.00
2020-12-30	659.00
2020-12-31	433.00
2021-01-01	214.00
2021-01-02	168.00
2021-01-03	319.00
2021-01-04	405.00
2021-01-05	343.00
2021-01-06	135.00
2021-01-07	376.00
2021-01-08	372.00
2021-01-09	437.00
2021-01-10	415.00
2021-01-11	1385.00
2021-01-12	864.00
2021-01-13	788.00
2021-01-14	1306.00
2021-01-15	1257.00
2021-01-16	981.00
2021-01-17	1164.00
2021-01-18	1982.00
2021-01-19	1222.00
2021-01-20	1537.00
2021-01-21	1605.00
2021-01-22	1737.00
2021-01-23	995.00
2021-01-24	1265.00
2021-01-25	2979.00
2021-01-26	1821.00
2021-01-27	823.00
2021-01-28	1371.00
2021-01-29	2321.00
2021-01-30	1498.00
2021-01-31	1465.00
2021-02-01	3445.00
2021-02-02	2041.00
2021-02-03	3248.00
2021-02-04	2877.00
2021-02-05	3645.00
2021-02-06	2704.00
2021-02-07	2947.00
2021-02-08	4419.00
2021-02-09	3145.00
2021-02-10	3331.00
2021-02-11	3520.00
2021-02-12	3531.00
2021-02-13	3767.00
2021-02-14	3341.00
2021-02-15	2377.00
2021-02-16	1558.00
2021-02-17	3221.00
2021-02-18	4814.00
2021-02-19	4630.00
2021-02-20	2530.00
2021-02-21	3012.00
2021-02-22	3553.00
2021-02-23	2933.00
2021-02-24	2046.00
2021-02-25	4188.00
2021-02-26	6608.00
2021-02-27	1809.00
2021-02-28	1641.00
2021-03-01	4023.00
2021-03-02	3915.00
2021-03-03	3825.00
2021-03-04	4646.00
2021-03-05	4981.00
2021-03-06	2853.00
2021-03-07	2201.00
2021-03-08	4501.00
2021-03-09	4231.00
2021-03-10	4436.00
2021-03-11	5021.00
2021-03-12	4959.00
2021-03-13	2961.00
2021-03-14	1997.00
2021-03-15	3714.00
2021-03-16	3617.00
2021-03-17	4578.00
2021-03-18	4824.00
2021-03-19	4892.00
2021-03-20	1961.00
2021-03-21	1290.00
2021-03-22	4200.00
2021-03-23	2099.00
2021-03-24	2081.00
2021-03-25	2498.00
2021-03-26	1998.00
2021-03-27	1688.00
2021-03-28	969.00
2021-03-29	1753.00
2021-03-30	1699.00
2021-03-31	1742.00
2021-04-01	2143.00
2021-04-02	1451.00
2021-04-03	1412.00
2021-04-04	1558.00
2021-04-05	1544.00
2021-04-06	2097.00
2021-04-07	1912.00
2021-04-08	1922.00
2021-04-09	2194.00
2021-04-10	1094.00
2021-04-11	879.00
2021-04-12	1167.00
2021-04-13	988.00
2021-04-14	1677.00
2021-04-15	1310.00
2021-04-16	1759.00
2021-04-17	929.00
2021-04-18	1043.00
2021-04-19	968.00
2021-04-20	1677.00
2021-04-21	1113.00
2021-04-22	1603.00
2021-04-23	1772.00
2021-04-24	1958.00
2021-04-25	944.00
2021-04-26	1129.00
2021-04-27	1663.00
2021-04-28	889.00
2021-04-29	863.00
2021-04-30	1673.00
2021-05-01	1411.00
2021-05-02	995.00
2021-05-03	1913.00
2021-05-04	1401.00
2021-05-05	1605.00
2021-05-06	1571.00
2021-05-07	2114.00
2021-05-08	1074.00
2021-05-09	528.00
2021-05-10	1247.00
2021-05-11	1244.00
2021-05-12	1621.00
2021-05-13	1276.00
2021-05-14	2380.00
2021-05-15	1200.00
2021-05-16	914.00
2021-05-17	1703.00
2021-05-18	1238.00
2021-05-19	1848.00
2021-05-20	2104.00
2021-05-21	1754.00
2021-05-22	810.00
2021-05-23	782.00
2021-05-24	1076.00
2021-05-25	857.00
2021-05-26	1093.00
2021-05-27	1944.00
2021-05-28	1686.00
2021-05-29	859.00
2021-05-30	760.00
2021-05-31	890.00
2021-06-01	765.00
2021-06-02	1071.00
2021-06-03	1114.00
2021-06-04	411.00
2021-06-05	597.00
2021-06-06	231.00
2021-06-07	304.00
2021-06-08	1062.00
2021-06-09	610.00
2021-06-10	609.00
2021-06-11	601.00
2021-06-12	464.00
2021-06-13	205.00
2021-06-14	781.00
2021-06-15	412.00
2021-06-16	540.00
2021-06-17	956.00
2021-06-18	899.00
2021-06-19	1122.00
2021-06-20	1484.00
2021-06-21	1878.00
2021-06-22	2504.00
2021-06-23	2578.00
2021-06-24	1509.00
2021-06-25	1121.00
2021-06-26	2135.00
2021-06-27	1131.00
2021-06-28	1142.00
2021-06-29	1586.00
2021-06-30	1516.00
2021-07-01	391.00
2021-07-02	773.00
2021-07-03	774.00
2021-07-04	721.00
2021-07-05	2723.00
2021-07-06	2624.00
2021-07-07	1864.00
2021-07-08	4302.00
2021-07-09	2240.00
2021-07-10	1427.00
2021-07-11	1001.00
2021-07-12	1730.00
2021-07-13	3382.00
2021-07-14	1176.00
2021-07-15	555.00
2021-07-16	787.00
2021-07-17	1070.00
2021-07-18	319.00
2021-07-19	234.00
