date	y
2020-03-20	8.00
2020-03-21	13.00
2020-03-29	12.00
2020-04-20	7.00
2020-04-30	18.00
2020-05-04	19.00
2020-05-07	25.00
2020-05-14	11.00
2020-05-16	9.00
2020-05-28	11.00
2020-06-07	11.00
2020-06-17	8.00
2020-06-26	8.00
2020-06-27	13.00
2020-06-30	24.00
2020-07-01	4.00
2020-07-02	8.00
2020-07-04	13.00
2020-07-15	12.00
2020-07-16	13.00
2020-07-17	12.00
2020-07-20	8.00
2020-07-21	350.00
2020-07-22	107.00
2020-07-23	26.00
2020-07-24	103.00
2020-07-25	152.00
2020-07-26	12.00
2020-07-27	931.00
2020-07-28	24.00
2020-07-30	171.00
2020-08-03	11.00
2020-08-04	64.00
2020-08-05	12.00
2020-08-07	10.00
2020-08-10	27.00
2020-08-12	7.00
2020-08-13	28.00
2020-08-17	14.00
2020-08-18	26.00
2020-08-20	22.00
2020-08-24	11.00
2020-08-25	15.00
2020-08-26	14.00
2020-08-27	13.00
2020-08-29	28.00
2020-08-31	7.00
2020-09-05	11.00
2020-09-07	30.00
2020-09-08	27.00
2020-09-09	18.00
2020-09-14	7.00
2020-09-22	17.00
2020-10-01	12.00
2020-12-22	12.00
2021-01-15	36.00
2021-01-20	16.00
2021-02-06	15.00
2021-02-08	56.00
2021-02-17	28.00
2021-02-19	13.00
2021-02-22	26.00
2021-02-25	31.00
2021-03-01	37.00
2021-03-02	34.00
2021-03-03	77.00
2021-03-04	36.00
2021-03-05	38.00
2021-03-06	38.00
2021-03-07	96.00
2021-03-08	77.00
2021-03-09	144.00
2021-03-10	139.00
2021-03-12	34.00
2021-03-13	36.00
2021-03-15	90.00
2021-03-23	76.00
2021-04-21	37.00
2021-05-20	34.00
2021-05-23	28.00
2021-06-24	37.00
2021-07-05	34.00
2021-07-07	73.00
2021-07-09	149.00
