date	y
2020-03-14	16.00
2020-03-15	19.00
2020-03-16	9.00
2020-03-17	17.00
2020-03-18	4.00
2020-03-20	11.00
2020-03-22	30.00
2020-03-23	25.00
2020-03-24	6.00
2020-03-25	7.00
2020-03-26	17.00
2020-03-28	11.00
2020-03-30	6.00
2020-03-31	10.00
2021-01-26	36.00
2021-01-27	155.00
2021-01-28	191.00
2021-01-29	128.00
2021-01-30	58.00
2021-02-01	24.00
2021-02-16	102.00
2021-02-19	21.00
2021-02-23	85.00
2021-02-24	45.00
2021-02-25	31.00
2021-02-26	274.00
2021-03-01	61.00
2021-03-02	226.00
2021-03-03	35.00
2021-03-10	91.00
2021-03-11	36.00
2021-03-12	30.00
2021-03-15	194.00
2021-03-16	78.00
2021-03-30	80.00
2021-04-13	40.00
2021-04-26	41.00
2021-04-27	241.00
2021-05-10	194.00
2021-05-11	449.00
2021-05-24	151.00
2021-05-25	671.00
2021-06-08	84.00
2021-06-22	290.00
2021-06-29	601.00
2021-07-06	163.00
2021-07-16	42.00
2021-07-19	82.00
2021-07-20	1272.00
