date	y
2020-01-22	23.00
2020-01-23	1.00
2020-01-24	9.00
2020-01-25	4.00
2020-01-26	3.00
2020-01-27	9.00
2020-01-29	9.00
2020-01-30	7.00
2020-01-31	3.00
2020-02-01	2.00
2020-02-02	2.00
2020-02-03	3.00
2020-02-04	3.00
2020-02-05	12.00
2020-02-07	5.00
2020-02-08	10.00
2020-02-09	56.00
2020-02-10	43.00
2020-02-11	9.00
2020-02-12	3.00
2020-02-13	15.00
2020-02-14	9.00
2020-02-15	7.00
2020-02-17	9.00
2020-02-18	1.00
2020-02-19	20.00
2020-02-22	24.00
2020-02-23	18.00
2020-02-24	15.00
2020-02-25	14.00
2020-02-26	39.00
2020-02-28	3.00
2020-03-01	16.00
2020-03-04	19.00
2020-03-06	15.00
2020-03-08	7.00
2020-03-09	19.00
2020-03-11	8.00
2020-03-12	1.00
2020-03-13	14.00
2020-03-14	10.00
2020-03-15	44.00
2020-03-16	27.00
2020-03-17	24.00
2020-03-18	92.00
2020-03-19	72.00
2020-03-20	48.00
2020-03-21	73.00
2020-03-22	78.00
2020-03-23	11.00
2020-03-24	22.00
2020-03-25	26.00
2020-03-26	58.00
2020-03-27	48.00
2020-03-28	23.00
2020-03-29	26.00
2020-03-30	25.00
2020-03-31	5.00
2020-04-01	9.00
2020-04-02	17.00
2020-04-03	34.00
2020-04-04	11.00
2020-04-06	7.00
2020-04-07	38.00
2020-04-09	14.00
2020-04-10	7.00
2020-04-11	19.00
2020-04-14	19.00
2020-04-24	11.00
2020-04-25	4.00
2020-05-01	8.00
2020-05-08	7.00
2020-05-11	6.00
2020-05-15	16.00
2020-05-25	11.00
2020-05-30	11.00
2020-06-01	23.00
2020-06-03	24.00
2020-06-05	20.00
2020-06-08	21.00
2020-06-09	11.00
2020-06-12	11.00
2020-06-19	13.00
2020-06-22	58.00
2020-06-23	21.00
2020-06-24	12.00
2020-06-25	15.00
2020-06-26	42.00
2020-06-29	26.00
2020-07-01	51.00
2020-07-03	21.00
2020-07-04	43.00
2020-07-05	26.00
2020-07-06	61.00
2020-07-07	144.00
2020-07-08	167.00
2020-07-09	267.00
2020-07-10	308.00
2020-07-11	109.00
2020-07-12	354.00
2020-07-13	183.00
2020-07-14	294.00
2020-07-15	76.00
2020-07-16	168.00
2020-07-17	153.00
2020-07-18	309.00
2020-07-19	245.00
2020-07-20	327.00
2020-07-21	227.00
2020-07-22	267.00
2020-07-23	209.00
2020-07-24	186.00
2020-07-25	199.00
2020-07-26	150.00
2020-07-27	354.00
2020-07-28	166.00
2020-07-29	82.00
2020-07-30	205.00
2020-07-31	172.00
2020-08-01	120.00
2020-08-02	104.00
2020-08-03	160.00
2020-08-04	29.00
2020-08-05	114.00
2020-08-06	104.00
2020-08-07	56.00
2020-08-08	38.00
2020-08-09	44.00
2020-08-10	117.00
2020-08-11	59.00
2020-08-12	83.00
2020-08-13	160.00
2020-08-14	115.00
2020-08-15	44.00
2020-08-16	122.00
2020-08-17	57.00
2020-08-20	14.00
2020-08-21	45.00
2020-08-22	29.00
2020-08-23	31.00
2020-08-24	43.00
2020-08-25	101.00
2020-08-26	71.00
2020-08-27	79.00
2020-08-28	124.00
2020-08-29	24.00
2020-08-30	46.00
2020-08-31	26.00
2020-09-02	42.00
2020-09-03	58.00
2020-09-04	19.00
2020-09-06	36.00
2020-09-08	32.00
2020-09-10	16.00
2020-09-11	16.00
2020-09-13	63.00
2020-09-14	34.00
2020-09-15	54.00
2020-09-16	12.00
2020-09-17	13.00
2020-09-18	92.00
2020-09-19	92.00
2020-09-20	41.00
2020-09-21	71.00
2020-09-22	34.00
2020-09-24	79.00
2020-09-26	15.00
2020-09-27	32.00
2020-09-28	55.00
2020-09-29	18.00
2020-09-30	62.00
2020-10-01	58.00
2020-10-02	91.00
2020-10-03	29.00
2020-10-04	39.00
2020-10-05	50.00
2020-10-06	169.00
2020-10-07	111.00
2020-10-08	179.00
2020-10-09	19.00
2020-10-10	18.00
2020-10-11	99.00
2020-10-14	66.00
2020-10-17	19.00
2020-10-18	19.00
2020-10-19	16.00
2020-10-21	45.00
2020-10-23	21.00
2020-10-25	55.00
2020-10-26	19.00
2020-10-28	39.00
2020-10-30	35.00
2020-11-01	28.00
2020-11-02	78.00
2020-11-03	60.00
2020-11-04	22.00
2020-11-05	76.00
2020-11-08	52.00
2020-11-09	35.00
2020-11-10	56.00
2020-11-11	133.00
2020-11-12	105.00
2020-11-13	36.00
2020-11-14	41.00
2020-11-15	35.00
2020-11-16	28.00
2020-11-17	46.00
2020-11-18	56.00
2020-11-19	107.00
2020-11-20	231.00
2020-11-21	288.00
2020-11-22	319.00
2020-11-23	568.00
2020-11-24	518.00
2020-11-25	334.00
2020-11-26	391.00
2020-11-27	309.00
2020-11-28	299.00
2020-11-29	432.00
2020-11-30	262.00
2020-12-01	150.00
2020-12-02	179.00
2020-12-03	130.00
2020-12-04	145.00
2020-12-05	116.00
2020-12-06	169.00
2020-12-07	173.00
2020-12-08	123.00
2020-12-09	79.00
2020-12-10	97.00
2020-12-11	58.00
2020-12-12	109.00
2020-12-13	180.00
2020-12-14	96.00
2020-12-15	106.00
2020-12-16	110.00
2020-12-17	365.00
2020-12-18	331.00
2020-12-19	315.00
2020-12-20	337.00
2020-12-21	377.00
2020-12-22	345.00
2020-12-23	358.00
2020-12-24	415.00
2020-12-25	209.00
2020-12-26	187.00
2020-12-27	292.00
2020-12-28	322.00
2020-12-29	165.00
2020-12-30	300.00
2020-12-31	155.00
2021-01-01	19.00
2021-01-02	122.00
2021-01-03	74.00
2021-01-04	130.00
2021-01-05	96.00
2021-01-06	51.00
2021-01-07	18.00
2021-01-08	44.00
2021-01-09	19.00
2021-01-10	57.00
2021-01-12	59.00
2021-01-13	22.00
2021-01-15	83.00
2021-01-16	126.00
2021-01-17	62.00
2021-01-18	313.00
2021-01-19	44.00
2021-01-20	139.00
2021-01-21	175.00
2021-01-22	87.00
2021-01-23	97.00
2021-01-24	114.00
2021-01-25	83.00
2021-01-26	84.00
2021-01-27	199.00
2021-01-28	151.00
2021-01-29	81.00
2021-01-30	23.00
2021-01-31	24.00
2021-02-01	47.00
2021-02-03	68.00
2021-02-04	45.00
