date	y
2020-03-01	14.00
2020-03-02	64.00
2020-03-03	43.00
2020-03-04	55.00
2020-03-05	47.00
2020-03-06	52.00
2020-03-07	25.00
2020-03-08	28.00
2020-03-09	87.00
2020-03-10	114.00
2020-03-11	84.00
2020-03-12	111.00
2020-03-13	188.00
2020-03-14	88.00
2020-03-15	85.00
2020-03-16	385.00
2020-03-17	432.00
2020-03-18	273.00
2020-03-19	476.00
2020-03-20	473.00
2020-03-21	172.00
2020-03-22	170.00
2020-03-23	713.00
2020-03-24	501.00
2020-03-25	481.00
2020-03-26	540.00
2020-03-27	523.00
2020-03-28	254.00
2020-03-29	310.00
2020-03-30	491.00
2020-03-31	508.00
2020-04-01	276.00
2020-04-02	388.00
2020-04-03	310.00
2020-04-04	113.00
2020-04-05	127.00
2020-04-06	227.00
2020-04-07	98.00
2020-04-08	154.00
2020-04-09	8.00
2020-04-10	80.00
2020-04-11	86.00
2020-04-12	79.00
2020-04-13	23.00
2020-04-14	57.00
2020-04-15	27.00
2020-04-17	60.00
2020-07-22	37.00
2020-07-23	19.00
2020-07-25	32.00
2020-07-26	106.00
2020-07-27	60.00
2020-07-28	144.00
2020-07-29	106.00
2020-07-30	30.00
2020-07-31	90.00
2020-08-01	31.00
2020-08-03	35.00
2020-08-04	51.00
2020-08-05	95.00
2020-08-06	157.00
2020-08-07	63.00
2020-08-08	58.00
2020-08-09	47.00
2020-08-10	18.00
2020-08-11	31.00
2020-08-12	47.00
2020-08-13	20.00
2020-08-14	179.00
2020-08-15	114.00
2020-08-16	42.00
2020-08-17	156.00
2020-08-18	51.00
2020-08-19	78.00
2020-08-20	99.00
2020-08-21	129.00
2020-08-22	66.00
2020-08-23	83.00
2020-08-24	71.00
2020-08-25	171.00
2020-08-26	34.00
2020-08-27	68.00
2020-08-28	71.00
2020-08-29	53.00
2020-08-30	74.00
2020-08-31	49.00
2020-09-01	152.00
2020-09-02	89.00
2020-09-03	49.00
2020-09-04	58.00
2020-09-05	50.00
2020-09-06	38.00
2020-09-07	48.00
2020-09-08	54.00
2020-09-09	35.00
2020-09-11	20.00
2020-09-12	14.00
2020-09-13	33.00
2020-09-14	131.00
2020-09-15	182.00
2020-09-16	265.00
2020-09-17	330.00
2020-09-18	987.00
2020-09-19	472.00
2020-09-20	370.00
2020-09-21	435.00
2020-09-22	724.00
2020-09-23	436.00
2020-09-24	589.00
2020-09-25	556.00
2020-09-26	241.00
2020-09-27	524.00
2020-09-28	331.00
2020-09-29	370.00
2020-09-30	612.00
2020-10-01	506.00
2020-10-02	840.00
2020-10-03	655.00
2020-10-04	884.00
2020-10-05	1265.00
2020-10-06	1347.00
2020-10-07	1169.00
2020-10-08	1308.00
2020-10-09	1163.00
2020-10-10	617.00
2020-10-11	395.00
2020-10-12	818.00
2020-10-13	575.00
2020-10-14	795.00
2020-10-15	769.00
2020-10-16	917.00
2020-10-17	839.00
2020-10-18	863.00
2020-10-19	792.00
2020-10-20	629.00
2020-10-21	631.00
2020-10-22	458.00
2020-10-23	846.00
2020-10-24	854.00
2020-10-25	712.00
2020-10-26	993.00
2020-10-27	1464.00
2020-10-28	758.00
2020-10-29	947.00
2020-10-30	851.00
2020-10-31	312.00
2020-11-01	470.00
2020-11-02	354.00
2020-11-03	443.00
2020-11-04	354.00
2020-11-05	320.00
2020-11-06	396.00
2020-11-07	296.00
2020-11-08	249.00
2020-11-09	174.00
2020-11-10	491.00
2020-11-11	205.00
2020-11-12	134.00
2020-11-13	254.00
2020-11-14	161.00
2020-11-15	116.00
2020-11-16	103.00
2020-11-17	226.00
2020-11-18	94.00
2020-11-19	379.00
2020-11-20	156.00
2020-11-21	174.00
2020-11-22	78.00
2020-11-23	204.00
2020-11-24	122.00
2020-11-25	195.00
2020-11-26	366.00
2020-11-27	293.00
2020-11-28	240.00
2020-11-29	115.00
2020-11-30	277.00
2020-12-01	278.00
2020-12-02	178.00
2020-12-03	161.00
2020-12-04	222.00
2020-12-05	160.00
2020-12-06	89.00
2020-12-07	203.00
2020-12-08	119.00
2020-12-09	103.00
2020-12-10	260.00
2020-12-11	166.00
2020-12-12	109.00
2020-12-13	51.00
2020-12-14	117.00
2020-12-15	93.00
2020-12-16	199.00
2020-12-17	247.00
2020-12-18	259.00
2020-12-19	360.00
2020-12-20	282.00
2020-12-21	181.00
2020-12-22	482.00
2020-12-23	266.00
2020-12-24	59.00
2020-12-26	285.00
2020-12-27	76.00
2020-12-28	227.00
2020-12-29	229.00
2020-12-30	17.00
2020-12-31	70.00
2021-01-01	122.00
2021-01-02	231.00
2021-01-03	342.00
2021-01-04	381.00
2021-01-05	410.00
2021-01-06	19.00
