date	y
2020-03-06	17.00
2020-03-08	17.00
2020-03-10	16.00
2020-03-13	17.00
2020-03-14	7.00
2020-03-16	49.00
2020-03-17	154.00
2020-03-18	73.00
2020-03-19	32.00
2020-03-20	48.00
2020-03-22	12.00
2020-03-24	41.00
2020-03-25	26.00
2020-03-26	76.00
2020-03-27	96.00
2020-03-28	62.00
2020-03-29	84.00
2020-03-30	62.00
2020-03-31	139.00
2020-04-01	100.00
2020-04-02	75.00
2020-04-03	120.00
2020-04-04	240.00
2020-04-05	156.00
2020-04-06	140.00
2020-04-07	117.00
2020-04-08	115.00
2020-04-09	170.00
2020-04-10	127.00
2020-04-11	248.00
2020-04-12	65.00
2020-04-13	189.00
2020-04-14	113.00
2020-04-15	336.00
2020-04-16	174.00
2020-04-17	352.00
2020-04-18	142.00
2020-04-19	51.00
2020-04-20	18.00
2020-04-21	27.00
2020-04-22	40.00
2020-04-23	31.00
2020-04-24	70.00
2020-04-25	30.00
2020-04-26	78.00
2020-04-27	55.00
2020-04-28	79.00
2020-04-29	138.00
2020-04-30	62.00
2020-05-01	123.00
2020-05-02	47.00
2020-05-03	79.00
2020-05-04	8.00
2020-05-05	44.00
2020-05-06	72.00
2020-05-07	41.00
2020-05-08	30.00
2020-05-09	26.00
2020-05-10	43.00
2020-05-11	22.00
2020-05-12	36.00
2020-05-13	63.00
2020-05-15	24.00
2020-05-16	13.00
2020-05-17	10.00
2020-05-18	17.00
2020-05-19	6.00
2020-05-20	96.00
2020-05-21	20.00
2020-05-22	39.00
2020-05-23	12.00
2020-05-26	12.00
2020-05-27	12.00
2020-05-28	7.00
2020-06-04	11.00
2020-06-09	11.00
2020-06-11	11.00
2020-06-12	14.00
2020-07-01	9.00
2020-07-02	9.00
2020-07-04	52.00
2020-07-06	35.00
2020-07-07	94.00
2020-07-08	38.00
2020-07-09	17.00
2020-07-10	32.00
2020-07-18	16.00
2020-07-19	15.00
2020-07-20	17.00
2020-07-21	17.00
2020-07-22	50.00
2020-07-23	78.00
2020-07-24	65.00
2020-07-25	67.00
2020-07-28	34.00
2020-07-29	69.00
2020-07-30	50.00
2020-07-31	125.00
2020-08-01	294.00
2020-08-02	17.00
2020-08-03	50.00
2020-08-05	341.00
2020-08-08	18.00
2020-08-09	110.00
2020-08-10	116.00
2020-08-11	63.00
2020-08-12	180.00
2020-08-13	190.00
2020-08-14	68.00
2020-08-15	106.00
2020-08-17	110.00
2020-08-18	26.00
2020-08-19	32.00
2020-08-20	128.00
2020-08-22	13.00
2020-09-02	37.00
2020-09-04	172.00
2020-09-05	141.00
2020-09-06	75.00
2020-09-07	129.00
2020-09-08	113.00
2020-09-09	222.00
2020-09-10	51.00
2020-09-11	17.00
2020-09-12	18.00
2020-09-13	53.00
2020-09-14	216.00
2020-09-15	376.00
2020-09-16	857.00
2020-09-18	30.00
2020-09-20	17.00
2020-09-21	20.00
2020-09-23	34.00
2020-09-25	29.00
2020-09-26	19.00
2020-09-29	104.00
2020-09-30	179.00
2020-10-01	70.00
2020-10-05	493.00
2020-10-06	248.00
2020-10-07	442.00
2020-10-08	53.00
2020-10-11	46.00
2020-10-12	177.00
2020-10-13	259.00
2020-10-14	118.00
2020-10-16	93.00
2020-10-17	18.00
2020-10-18	736.00
2020-10-19	19.00
2020-10-20	21.00
2020-10-21	56.00
2020-10-22	38.00
2020-10-23	18.00
2020-10-24	37.00
2020-10-25	72.00
2020-10-27	60.00
2020-10-28	113.00
2020-10-30	46.00
2020-10-31	42.00
2020-11-01	18.00
2020-11-02	132.00
2020-11-03	80.00
2020-11-04	63.00
2020-11-05	471.00
2020-11-06	68.00
2020-11-09	131.00
2020-11-10	19.00
2020-11-11	60.00
2020-11-13	55.00
2020-11-16	41.00
2020-11-17	89.00
2020-11-18	67.00
2020-11-19	79.00
2020-11-20	40.00
2020-11-22	477.00
2020-11-23	333.00
2020-11-24	92.00
2020-11-25	19.00
2020-11-26	93.00
2020-11-27	18.00
2020-11-28	41.00
2020-11-29	70.00
2020-12-01	209.00
2020-12-02	41.00
2020-12-03	23.00
2020-12-05	22.00
2020-12-07	25.00
2020-12-08	37.00
2020-12-10	47.00
2020-12-11	87.00
2020-12-12	15.00
2020-12-13	18.00
2020-12-14	284.00
2020-12-15	187.00
2020-12-16	289.00
2020-12-17	270.00
2020-12-18	140.00
2020-12-19	79.00
2020-12-20	189.00
2020-12-21	310.00
2020-12-22	278.00
2020-12-23	172.00
2020-12-26	25.00
2020-12-27	959.00
2020-12-28	1084.00
2020-12-29	429.00
2020-12-30	65.00
2020-12-31	696.00
2021-01-01	647.00
2021-01-02	122.00
2021-01-03	87.00
2021-01-04	343.00
2021-01-05	59.00
2021-01-06	475.00
2021-01-07	1085.00
2021-01-08	328.00
2021-01-09	133.00
2021-01-10	1286.00
2021-01-11	1931.00
2021-01-12	871.00
2021-01-13	623.00
2021-01-14	1937.00
2021-01-15	245.00
2021-01-16	59.00
2021-01-17	96.00
2021-01-18	1527.00
2021-01-19	1156.00
2021-01-20	569.00
2021-01-21	981.00
2021-01-22	222.00
2021-01-24	2062.00
2021-01-25	1301.00
2021-01-26	2592.00
2021-01-27	1973.00
2021-01-28	1171.00
2021-01-29	893.00
2021-01-30	179.00
2021-01-31	157.00
2021-02-01	7598.00
2021-02-02	6724.00
2021-02-03	4569.00
2021-02-04	1532.00
2021-02-05	1247.00
2021-02-06	276.00
2021-02-07	4258.00
2021-02-08	10488.00
2021-02-09	10094.00
2021-02-10	4824.00
2021-02-11	364.00
2021-02-12	370.00
2021-02-13	126.00
2021-02-14	100.00
2021-02-15	7169.00
2021-02-16	3893.00
2021-02-17	4962.00
2021-02-18	510.00
2021-02-19	639.00
2021-02-20	79.00
2021-02-21	1907.00
2021-02-22	3725.00
2021-02-23	6970.00
2021-02-24	4287.00
2021-02-25	2861.00
2021-02-26	4315.00
2021-02-27	2262.00
2021-02-28	5261.00
2021-03-01	3801.00
2021-03-02	2535.00
2021-03-03	4336.00
2021-03-04	3079.00
2021-03-05	3322.00
2021-03-06	1363.00
2021-03-07	3446.00
2021-03-08	4169.00
2021-03-09	4504.00
2021-03-10	5992.00
2021-03-11	4174.00
2021-03-12	1274.00
2021-03-13	1331.00
2021-03-14	3978.00
2021-03-15	4889.00
2021-03-16	5507.00
2021-03-17	4363.00
2021-03-18	7710.00
2021-03-19	1780.00
2021-03-20	2438.00
2021-03-21	4046.00
2021-03-22	4680.00
2021-03-23	6649.00
2021-03-24	3582.00
2021-03-25	3827.00
2021-03-26	2482.00
2021-03-27	1544.00
2021-03-28	5822.00
2021-03-29	5598.00
2021-03-30	3766.00
2021-03-31	447.00
2021-04-01	2409.00
2021-04-02	277.00
2021-04-03	351.00
2021-04-04	3204.00
2021-04-05	3709.00
2021-04-06	4109.00
2021-04-07	3263.00
2021-04-08	1053.00
2021-04-09	3753.00
2021-04-10	1907.00
2021-04-11	3787.00
2021-04-12	3840.00
2021-04-13	3079.00
2021-04-14	4599.00
2021-04-15	5064.00
2021-04-16	2860.00
2021-04-17	1512.00
2021-04-18	4632.00
2021-04-19	5106.00
2021-04-20	4135.00
2021-04-21	4475.00
2021-04-22	4423.00
2021-04-23	2132.00
2021-04-24	2994.00
2021-04-25	3487.00
2021-04-26	3938.00
2021-04-27	5891.00
2021-04-28	6930.00
2021-04-29	5996.00
2021-04-30	3422.00
2021-05-01	3079.00
2021-05-02	5909.00
2021-05-03	5526.00
2021-05-04	6447.00
2021-05-05	5659.00
2021-05-06	4951.00
2021-05-07	4537.00
2021-05-08	3205.00
2021-05-09	1396.00
2021-05-10	31.00
2021-05-11	72.00
2021-05-12	577.00
2021-05-13	107.00
