date	y
2020-02-27	9.00
2020-03-01	15.00
2020-03-02	9.00
2020-03-03	8.00
2020-03-04	15.00
2020-03-05	6.00
2020-03-06	18.00
2020-03-07	37.00
2020-03-08	50.00
2020-03-09	32.00
2020-03-10	67.00
2020-03-11	48.00
2020-03-12	59.00
2020-03-15	235.00
2020-03-17	138.00
2020-03-18	31.00
2020-03-19	8.00
2020-03-20	29.00
2020-03-21	48.00
2020-03-22	44.00
2020-03-23	24.00
2020-03-24	66.00
2020-03-25	91.00
2020-03-26	128.00
2020-03-27	13.00
2020-03-28	20.00
2020-03-29	98.00
2020-03-30	105.00
2020-03-31	34.00
2020-04-01	254.00
2020-04-02	106.00
2020-04-03	100.00
2020-04-04	78.00
2020-04-05	73.00
2020-04-06	10.00
2020-04-09	65.00
2020-04-10	20.00
2020-04-11	138.00
2020-04-12	14.00
2020-04-13	58.00
2020-04-14	51.00
2020-04-15	95.00
2020-04-16	83.00
2020-04-17	12.00
2020-04-18	14.00
2020-04-19	44.00
2020-04-20	31.00
2020-04-21	45.00
2020-04-22	8.00
2020-04-23	7.00
2020-04-25	49.00
2020-04-27	9.00
2020-05-20	9.00
2020-05-29	8.00
2020-06-01	45.00
2020-06-02	42.00
2020-06-03	31.00
2020-06-04	71.00
2020-06-05	40.00
2020-06-08	21.00
2020-06-14	34.00
2020-06-15	52.00
2020-06-21	17.00
2020-06-25	33.00
2020-06-26	14.00
2020-06-28	52.00
2020-06-29	82.00
2020-07-03	18.00
2020-07-05	41.00
2020-07-14	29.00
2020-07-19	48.00
2020-07-20	509.00
2020-07-21	131.00
2020-07-22	16.00
2020-07-23	21.00
2020-07-24	37.00
2020-07-26	20.00
2020-07-27	21.00
2020-07-29	17.00
2020-07-30	17.00
2020-08-02	34.00
2020-08-03	33.00
2020-08-04	35.00
2020-08-11	18.00
2020-08-13	20.00
2020-08-17	23.00
2020-09-01	58.00
2020-09-16	18.00
2020-10-13	17.00
2020-12-01	52.00
2020-12-02	74.00
2020-12-03	90.00
2020-12-07	105.00
2020-12-08	166.00
2020-12-09	119.00
2020-12-10	193.00
2020-12-13	64.00
2020-12-15	199.00
2020-12-16	128.00
2020-12-17	112.00
2020-12-20	141.00
2020-12-23	38.00
2020-12-24	1983.00
2020-12-27	1978.00
2020-12-28	3285.00
2020-12-29	5628.00
2020-12-30	1208.00
2020-12-31	3606.00
2021-01-01	1594.00
2021-01-02	1943.00
2021-01-03	6409.00
2021-01-04	5437.00
2021-01-05	3630.00
2021-01-06	1602.00
2021-01-07	4163.00
2021-01-08	855.00
2021-01-09	166.00
2021-01-10	643.00
2021-01-11	5137.00
2021-01-12	3267.00
2021-01-13	1001.00
2021-01-14	1481.00
2021-01-15	841.00
2021-01-16	875.00
2021-01-17	1269.00
2021-01-18	1415.00
2021-01-19	1983.00
2021-01-20	3598.00
2021-01-21	2818.00
2021-01-22	433.00
2021-01-23	104.00
2021-01-24	791.00
2021-01-25	1701.00
2021-01-26	5816.00
2021-01-27	5512.00
2021-01-28	7301.00
2021-01-29	2369.00
2021-01-30	529.00
2021-01-31	5656.00
2021-02-01	4018.00
2021-02-02	15771.00
2021-02-03	1221.00
2021-02-04	1347.00
2021-02-05	418.00
2021-02-06	535.00
2021-02-07	11539.00
2021-02-08	2825.00
2021-02-09	1601.00
2021-02-10	1281.00
2021-02-11	2901.00
2021-02-12	753.00
2021-02-13	556.00
2021-02-14	1675.00
2021-02-15	1552.00
2021-02-16	2242.00
2021-02-17	730.00
2021-02-18	1514.00
2021-02-19	564.00
2021-02-20	978.00
2021-02-21	2907.00
2021-02-22	5826.00
2021-02-23	4825.00
2021-02-24	3011.00
2021-02-25	2697.00
2021-02-26	989.00
2021-02-27	2464.00
2021-02-28	10055.00
2021-03-01	5389.00
2021-03-02	6869.00
2021-03-03	4320.00
2021-03-04	2996.00
2021-03-05	2965.00
2021-03-06	1570.00
2021-03-07	3159.00
2021-03-08	337.00
2021-03-09	418.00
2021-03-10	205.00
2021-03-11	580.00
2021-03-12	1753.00
2021-03-13	104.00
2021-03-14	5175.00
2021-03-15	1488.00
2021-03-16	6570.00
2021-03-17	1340.00
2021-03-18	491.00
2021-03-19	664.00
2021-03-20	1318.00
2021-03-21	6751.00
2021-03-22	2170.00
2021-03-23	429.00
2021-03-24	1525.00
2021-03-25	411.00
2021-03-27	84.00
2021-03-28	48.00
2021-03-29	46.00
2021-03-30	238.00
2021-03-31	128.00
