date	y
2020-01-30	2.00
2020-01-31	2.00
2020-02-03	5.00
2020-02-04	4.00
2020-02-12	3.00
2020-02-20	4.00
2020-02-21	15.00
2020-02-22	65.00
2020-02-23	51.00
2020-02-24	133.00
2020-02-25	113.00
2020-02-26	85.00
2020-02-27	79.00
2020-02-28	134.00
2020-02-29	97.00
2020-03-01	158.00
2020-03-02	103.00
2020-03-03	109.00
2020-03-04	167.00
2020-03-05	112.00
2020-03-06	97.00
2020-03-07	166.00
2020-03-08	197.00
2020-03-09	206.00
2020-03-10	164.00
2020-03-11	57.00
2020-03-12	197.00
2020-03-13	207.00
2020-03-14	228.00
2020-03-15	112.00
2020-03-16	212.00
2020-03-17	191.00
2020-03-18	222.00
2020-03-19	305.00
2020-03-20	266.00
2020-03-21	281.00
2020-03-22	173.00
2020-03-23	229.00
2020-03-24	191.00
2020-03-25	162.00
2020-03-26	93.00
2020-03-27	131.00
2020-03-28	92.00
2020-03-29	80.00
2020-03-30	139.00
2020-03-31	208.00
2020-04-01	135.00
2020-04-02	122.00
2020-04-03	263.00
2020-04-04	71.00
2020-04-05	173.00
2020-04-06	118.00
2020-04-07	101.00
2020-04-08	235.00
2020-04-09	212.00
2020-04-10	83.00
2020-04-11	438.00
2020-04-12	115.00
2020-04-13	139.00
2020-04-14	106.00
2020-04-15	89.00
2020-04-16	149.00
2020-04-17	52.00
2020-04-18	81.00
2020-04-19	57.00
2020-04-20	67.00
2020-04-21	181.00
2020-04-22	60.00
2020-04-23	77.00
2020-04-24	28.00
2020-04-25	41.00
2020-04-26	24.00
2020-04-27	134.00
2020-04-28	225.00
2020-04-29	46.00
2020-04-30	52.00
2020-05-01	41.00
2020-05-02	80.00
2020-05-03	33.00
2020-05-04	49.00
2020-05-06	33.00
2020-05-07	23.00
2020-05-08	40.00
2020-05-10	35.00
2020-05-12	12.00
2020-05-13	32.00
2020-05-14	55.00
2020-05-15	10.00
2020-05-16	25.00
2020-05-17	22.00
2020-05-18	9.00
2020-05-19	11.00
2020-05-20	24.00
2020-05-22	10.00
2020-05-23	33.00
2020-05-24	11.00
2020-05-27	29.00
2020-05-30	9.00
2020-06-01	7.00
2020-06-02	9.00
2020-06-03	9.00
2020-06-04	69.00
2020-06-05	11.00
2020-06-06	194.00
2020-06-07	91.00
2020-06-08	32.00
2020-06-09	23.00
2020-06-10	21.00
2020-06-11	50.00
2020-06-12	93.00
2020-06-13	37.00
2020-06-15	10.00
2020-06-16	44.00
2020-06-17	122.00
2020-06-19	12.00
2020-06-20	45.00
2020-06-22	21.00
2020-06-24	36.00
2020-06-25	20.00
2020-06-26	68.00
2020-06-27	50.00
2020-06-28	175.00
2020-06-29	411.00
2020-06-30	39.00
2020-07-01	69.00
2020-07-02	113.00
2020-07-03	8.00
2020-07-06	30.00
2020-07-07	135.00
2020-07-09	13.00
2020-07-10	18.00
2020-07-13	25.00
2020-07-15	11.00
2020-07-17	60.00
2020-07-18	48.00
2020-07-20	152.00
2020-07-21	19.00
2020-07-23	48.00
2020-07-24	72.00
2020-07-26	9.00
2020-07-27	16.00
2020-07-28	32.00
2020-08-02	10.00
2020-08-03	11.00
2020-08-04	30.00
2020-08-05	47.00
2020-08-07	34.00
2020-08-10	32.00
2020-08-11	35.00
2020-08-12	32.00
2020-08-13	28.00
2020-08-14	14.00
2020-08-15	28.00
2020-08-17	85.00
2020-08-18	70.00
2020-08-19	51.00
2020-08-20	154.00
2020-08-21	47.00
2020-08-22	74.00
2020-08-23	336.00
2020-08-24	120.00
2020-08-25	176.00
2020-08-26	269.00
2020-08-27	26.00
2020-08-28	583.00
2020-08-29	93.00
2020-08-30	57.00
2020-08-31	35.00
2020-09-01	29.00
2020-09-02	164.00
2020-09-03	321.00
2020-09-04	129.00
2020-09-05	14.00
2020-09-06	118.00
2020-09-07	100.00
2020-09-08	140.00
2020-09-09	202.00
2020-09-10	314.00
2020-09-11	293.00
2020-09-12	109.00
2020-09-13	67.00
2020-09-14	259.00
2020-09-15	739.00
2020-09-16	313.00
2020-09-17	110.00
2020-09-18	21.00
2020-09-19	40.00
2020-09-20	181.00
2020-09-21	127.00
2020-09-22	119.00
2020-09-23	162.00
2020-09-24	78.00
2020-09-25	82.00
2020-09-26	20.00
2020-09-28	212.00
2020-09-29	174.00
2020-09-30	103.00
2020-10-01	97.00
2020-10-02	17.00
2020-10-03	81.00
2020-10-04	37.00
2020-10-05	88.00
2020-10-06	83.00
2020-10-07	94.00
2020-10-08	65.00
2020-10-09	117.00
2020-10-10	185.00
2020-10-11	164.00
2020-10-12	85.00
2020-10-13	213.00
2020-10-14	198.00
2020-10-15	191.00
2020-10-16	202.00
2020-10-17	110.00
2020-10-18	120.00
2020-10-19	294.00
2020-10-20	178.00
2020-10-21	292.00
2020-10-22	72.00
2020-10-23	25.00
2020-10-24	104.00
2020-10-25	142.00
2020-10-26	3497.00
2020-10-27	160.00
2020-10-28	148.00
2020-10-29	559.00
2020-10-30	82.00
2020-10-31	16.00
2020-11-01	125.00
2020-11-02	736.00
2020-11-03	614.00
2020-11-04	324.00
2020-11-05	246.00
2020-11-06	133.00
2020-11-07	22.00
2020-11-09	137.00
2020-11-10	179.00
2020-11-11	130.00
2020-11-12	27.00
2020-11-13	295.00
2020-11-14	583.00
2020-11-15	109.00
2020-11-16	201.00
2020-11-17	283.00
2020-11-18	41.00
2020-11-19	323.00
2020-11-20	394.00
2020-11-21	93.00
2020-11-22	55.00
2020-11-23	198.00
2020-11-24	246.00
2020-11-25	577.00
2020-11-26	321.00
2020-11-27	647.00
2020-11-28	186.00
2020-11-29	125.00
2020-11-30	214.00
2020-12-01	325.00
2020-12-02	101.00
2020-12-03	195.00
2020-12-04	172.00
2020-12-05	31.00
2020-12-06	41.00
2020-12-07	162.00
2020-12-08	396.00
2020-12-09	573.00
2020-12-10	684.00
2020-12-11	665.00
2020-12-12	396.00
2020-12-13	159.00
2020-12-14	910.00
2020-12-15	681.00
2020-12-16	752.00
2020-12-17	1816.00
2020-12-18	2975.00
2020-12-19	940.00
2020-12-20	810.00
2020-12-21	2352.00
2020-12-22	1375.00
2020-12-23	1405.00
2020-12-24	558.00
2020-12-25	71.00
2020-12-26	700.00
2020-12-27	1099.00
2020-12-28	2917.00
2020-12-29	1885.00
2020-12-30	709.00
2020-12-31	472.00
2021-01-01	290.00
2021-01-02	833.00
2021-01-03	438.00
2021-01-04	932.00
2021-01-05	839.00
2021-01-06	654.00
2021-01-07	1136.00
2021-01-08	1861.00
