date	y
2020-03-16	35.00
2020-03-17	1.00
2020-03-20	9.00
2020-03-22	46.00
2020-03-23	47.00
2020-03-24	7.00
2020-03-25	31.00
2020-03-30	40.00
2020-04-14	8.00
2020-04-18	16.00
2020-04-19	14.00
2020-04-27	39.00
2020-04-28	39.00
2020-04-29	38.00
2020-04-30	9.00
2020-05-03	11.00
2020-05-07	21.00
2020-05-08	9.00
2020-05-09	36.00
2020-05-10	10.00
2020-05-28	10.00
2020-06-05	10.00
2020-06-06	9.00
2020-06-15	9.00
2020-06-16	29.00
2020-06-17	13.00
2020-06-26	12.00
2020-06-30	13.00
2020-07-03	10.00
2020-07-06	11.00
2020-07-07	55.00
2020-07-08	60.00
2020-07-09	72.00
2020-07-10	49.00
2020-07-14	30.00
2020-07-16	27.00
2020-07-17	20.00
2020-07-18	17.00
2020-07-20	19.00
2020-07-21	22.00
2020-07-22	11.00
2020-07-23	10.00
2020-07-25	9.00
2020-07-29	34.00
2020-07-31	22.00
2020-08-03	12.00
2020-08-04	27.00
2020-08-05	129.00
2020-08-06	24.00
2020-08-07	24.00
2020-08-08	12.00
2020-08-10	12.00
2020-08-22	28.00
2020-08-24	89.00
2020-08-25	97.00
2020-08-26	41.00
2020-08-27	21.00
2020-08-28	57.00
2020-08-29	17.00
2020-08-30	17.00
2020-08-31	32.00
2020-09-02	38.00
2020-09-03	17.00
2020-09-04	42.00
2020-09-08	40.00
2020-09-09	84.00
2020-09-10	51.00
2020-09-11	65.00
2020-09-12	33.00
2020-09-13	30.00
2020-09-14	49.00
2020-09-15	51.00
2020-09-16	72.00
2020-09-17	17.00
2020-09-18	55.00
2020-09-19	32.00
2020-09-20	18.00
2020-09-21	126.00
2020-09-22	56.00
2020-09-23	149.00
2020-09-24	19.00
2020-09-25	91.00
2020-09-26	61.00
2020-09-27	16.00
2020-09-28	1338.00
2020-09-29	348.00
2020-09-30	376.00
2020-10-01	748.00
2020-10-02	800.00
2020-10-03	277.00
2020-10-04	265.00
2020-10-05	408.00
2020-10-06	548.00
2020-10-07	508.00
2020-10-08	30.00
2020-10-12	97.00
2020-10-13	60.00
2020-10-19	84.00
2020-10-26	16.00
2020-11-19	18.00
2020-12-14	53.00
2021-01-10	44.00
2021-01-11	79.00
2021-01-12	60.00
2021-01-14	16.00
2021-01-17	41.00
2021-01-18	225.00
2021-01-19	225.00
2021-01-20	22.00
2021-01-21	894.00
2021-01-22	22.00
2021-01-25	302.00
2021-01-26	224.00
2021-01-27	487.00
2021-01-28	469.00
2021-01-29	468.00
2021-01-30	22.00
2021-01-31	38.00
2021-02-01	868.00
2021-02-02	530.00
2021-02-03	451.00
2021-02-04	717.00
2021-02-05	442.00
2021-02-07	80.00
2021-02-08	1445.00
2021-02-09	982.00
2021-02-10	1035.00
2021-02-11	839.00
2021-02-12	537.00
2021-02-14	71.00
2021-02-15	983.00
2021-02-16	1041.00
2021-02-17	1190.00
2021-02-18	528.00
2021-02-19	809.00
2021-02-21	93.00
2021-02-22	1604.00
2021-02-23	1384.00
2021-02-24	995.00
2021-02-25	1151.00
2021-02-26	863.00
2021-02-27	742.00
2021-02-28	354.00
2021-03-01	1156.00
2021-03-02	863.00
2021-03-03	623.00
2021-03-04	1052.00
2021-03-05	753.00
2021-03-06	250.00
2021-03-07	173.00
2021-03-08	786.00
2021-03-09	3920.00
2021-03-10	3848.00
2021-03-11	1004.00
2021-03-12	1179.00
2021-03-13	299.00
2021-03-14	425.00
2021-03-15	4696.00
2021-03-16	3256.00
2021-03-17	3054.00
2021-03-18	2293.00
2021-03-19	2266.00
2021-03-20	1022.00
2021-03-21	906.00
2021-03-22	1533.00
2021-03-23	2103.00
2021-03-24	1454.00
2021-03-25	1262.00
2021-03-26	1219.00
2021-03-27	169.00
2021-03-28	388.00
2021-03-29	3976.00
2021-03-30	1630.00
2021-03-31	517.00
2021-04-01	455.00
2021-04-02	80.00
2021-04-03	288.00
2021-04-04	205.00
2021-04-05	191.00
2021-04-06	2012.00
2021-04-07	1333.00
2021-04-08	1893.00
2021-04-09	1712.00
2021-04-10	2838.00
2021-04-11	1067.00
2021-04-12	4990.00
2021-04-13	3377.00
2021-04-14	2368.00
2021-04-15	2271.00
2021-04-16	1736.00
2021-04-17	164.00
2021-04-18	198.00
2021-04-19	2762.00
2021-04-20	2581.00
2021-04-21	3786.00
2021-04-22	2254.00
2021-04-23	1731.00
2021-04-24	393.00
2021-04-25	151.00
2021-04-26	2580.00
2021-04-27	4349.00
2021-04-28	836.00
2021-04-29	643.00
2021-04-30	915.00
2021-05-01	264.00
2021-05-02	240.00
2021-05-03	261.00
2021-05-04	2513.00
2021-05-05	1698.00
2021-05-06	864.00
2021-05-07	1198.00
2021-05-08	1251.00
2021-05-09	2730.00
2021-05-10	541.00
2021-05-12	38.00
2021-05-13	1768.00
2021-05-14	900.00
2021-05-15	1020.00
2021-05-16	533.00
2021-05-17	2110.00
2021-05-18	2444.00
2021-05-19	2353.00
2021-05-20	1372.00
2021-05-21	2298.00
2021-05-22	1161.00
2021-05-23	592.00
2021-05-24	1290.00
2021-05-25	2938.00
2021-05-26	1265.00
2021-05-27	1518.00
2021-05-28	81.00
