date	y
2020-04-04	9.00
2020-04-05	36.00
2020-04-06	51.00
2020-04-07	17.00
2020-04-08	34.00
2020-04-09	16.00
2020-04-10	12.00
2020-04-11	4.00
2020-04-13	8.00
2020-04-14	20.00
2020-04-15	12.00
2020-04-16	21.00
2020-04-17	23.00
2020-04-18	23.00
2020-04-19	26.00
2020-04-20	12.00
2020-04-21	14.00
2020-04-24	8.00
2020-04-26	6.00
2020-05-18	41.00
2020-05-20	28.00
2020-05-21	44.00
2020-05-22	15.00
2020-05-23	18.00
2020-05-25	12.00
2020-06-03	10.00
2020-07-21	27.00
2020-07-27	8.00
2020-07-28	12.00
2020-07-30	22.00
2020-08-02	24.00
2020-08-04	22.00
2020-08-05	24.00
2020-08-06	11.00
2020-08-07	45.00
2020-08-08	12.00
2020-08-09	12.00
2020-08-10	16.00
2020-08-11	13.00
2020-08-12	14.00
2020-08-14	36.00
2020-08-17	43.00
2020-08-19	79.00
2020-08-20	23.00
2020-08-21	16.00
2020-08-24	36.00
2020-08-26	14.00
2020-08-29	13.00
2020-08-31	68.00
2020-09-01	11.00
2020-09-03	45.00
2020-09-04	17.00
2020-09-06	13.00
2020-09-07	28.00
2020-09-08	11.00
2020-09-09	16.00
2020-09-12	227.00
2020-09-21	15.00
2020-09-23	11.00
2020-09-26	20.00
2020-09-27	14.00
2020-09-28	37.00
2020-10-01	17.00
2020-10-06	19.00
2020-10-13	37.00
2020-10-30	26.00
2020-10-31	25.00
2020-11-07	19.00
2020-11-11	33.00
2020-11-12	37.00
2020-11-13	26.00
2020-11-15	16.00
2020-11-18	13.00
2020-11-19	29.00
2020-11-20	51.00
2020-11-23	45.00
2020-11-24	16.00
2020-11-27	117.00
2020-11-28	15.00
2020-11-29	16.00
2020-12-01	38.00
2020-12-02	47.00
2020-12-03	78.00
2020-12-04	137.00
2020-12-05	97.00
2020-12-06	224.00
2020-12-07	245.00
2020-12-08	22.00
2020-12-09	23.00
2020-12-11	136.00
2020-12-12	20.00
2020-12-13	53.00
2020-12-14	1130.00
2020-12-17	86.00
2020-12-18	41.00
2020-12-19	58.00
2020-12-20	120.00
2020-12-21	39.00
2020-12-22	343.00
2020-12-31	21.00
2021-01-01	15.00
2021-01-02	86.00
2021-01-03	195.00
2021-01-06	17.00
2021-01-12	60.00
2021-01-13	64.00
2021-01-16	44.00
2021-01-17	104.00
2021-01-20	65.00
2021-01-21	18.00
2021-01-22	60.00
2021-01-23	70.00
2021-01-24	61.00
2021-01-25	26.00
2021-01-26	42.00
2021-01-27	63.00
2021-01-29	26.00
2021-01-31	18.00
2021-02-01	85.00
2021-02-02	668.00
2021-02-03	284.00
2021-02-04	1520.00
2021-02-05	549.00
2021-02-06	334.00
2021-02-08	960.00
2021-02-09	1873.00
2021-02-10	1793.00
2021-02-11	21.00
2021-02-12	93.00
2021-02-15	3095.00
2021-02-16	2483.00
2021-02-17	2246.00
2021-02-18	20.00
2021-02-19	2491.00
2021-02-20	2031.00
2021-02-21	878.00
2021-02-22	4373.00
2021-02-23	1516.00
2021-02-24	2541.00
2021-02-25	1952.00
2021-02-26	1885.00
2021-02-27	1246.00
2021-02-28	919.00
2021-03-01	2523.00
2021-03-02	2478.00
2021-03-03	3098.00
2021-03-04	1698.00
2021-03-05	1980.00
2021-03-06	1092.00
2021-03-07	754.00
2021-03-08	1811.00
2021-03-09	533.00
2021-03-10	59.00
2021-03-12	15.00
2021-03-13	63.00
2021-03-14	2646.00
2021-03-15	8965.00
2021-03-16	5011.00
2021-03-17	4345.00
2021-03-18	3545.00
2021-03-19	3868.00
2021-03-20	2260.00
2021-03-21	3846.00
2021-03-22	3060.00
2021-03-23	1561.00
2021-03-24	5611.00
2021-03-25	5064.00
2021-03-26	2274.00
2021-03-27	1156.00
2021-03-28	2459.00
2021-03-29	2575.00
2021-03-30	4058.00
2021-03-31	4104.00
2021-04-01	4457.00
2021-04-02	3750.00
2021-04-03	3709.00
2021-04-04	2849.00
2021-04-05	3896.00
2021-04-06	3311.00
2021-04-07	4518.00
2021-04-08	3804.00
2021-04-09	4394.00
2021-04-10	2837.00
2021-04-11	3491.00
2021-04-12	7427.00
2021-04-13	4153.00
2021-04-14	4816.00
2021-04-15	3877.00
2021-04-16	4082.00
2021-04-17	2501.00
2021-04-18	1194.00
2021-04-19	3625.00
2021-04-20	3686.00
2021-04-21	4301.00
2021-04-22	3635.00
2021-04-23	3623.00
2021-04-24	2366.00
2021-04-25	2685.00
2021-04-26	6263.00
2021-04-27	5577.00
2021-04-28	5965.00
2021-04-29	4667.00
2021-04-30	1368.00
2021-05-01	160.00
2021-05-02	2504.00
2021-05-03	2798.00
2021-05-04	2835.00
2021-05-05	3846.00
2021-05-06	5160.00
2021-05-07	3123.00
2021-05-08	2543.00
2021-05-09	2839.00
2021-05-10	5479.00
2021-05-11	4913.00
2021-05-12	3951.00
2021-05-13	3624.00
2021-05-14	4280.00
2021-05-15	417.00
2021-05-16	1421.00
2021-05-17	5183.00
2021-05-18	5589.00
2021-05-19	5460.00
2021-05-20	4225.00
2021-05-21	3175.00
2021-05-22	840.00
2021-05-23	1026.00
2021-05-24	5335.00
2021-05-25	4558.00
2021-05-26	5390.00
2021-05-27	3962.00
2021-05-28	2930.00
2021-05-29	775.00
2021-05-30	1088.00
2021-05-31	3842.00
2021-06-01	3444.00
2021-06-02	4096.00
2021-06-03	2582.00
2021-06-04	3659.00
2021-06-05	1446.00
2021-06-06	204.00
2021-06-07	585.00
2021-06-08	423.00
2021-06-09	189.00
2021-06-10	188.00
2021-06-11	287.00
2021-06-12	29.00
2021-06-13	190.00
2021-06-14	1016.00
2021-06-15	944.00
2021-06-16	828.00
2021-06-17	376.00
2021-06-18	381.00
2021-06-19	37.00
2021-06-20	117.00
2021-06-21	766.00
2021-06-22	889.00
2021-06-23	996.00
2021-06-24	147.00
2021-06-25	271.00
2021-06-26	112.00
2021-06-28	360.00
2021-06-29	611.00
2021-06-30	435.00
2021-07-01	381.00
2021-07-02	480.00
2021-07-03	389.00
2021-07-04	163.00
2021-07-05	742.00
2021-07-06	272.00
2021-07-07	1043.00
2021-07-08	1142.00
2021-07-09	1164.00
2021-07-10	435.00
2021-07-11	188.00
2021-07-12	644.00
2021-07-13	372.00
2021-07-14	695.00
2021-07-15	715.00
2021-07-16	737.00
2021-07-17	259.00
2021-07-18	372.00
2021-07-19	1309.00
2021-07-20	2680.00
2021-07-21	2564.00
2021-07-22	3023.00
2021-07-23	2473.00
2021-07-24	1700.00
2021-07-25	38.00
2021-07-26	489.00
2021-07-27	1094.00
2021-07-28	920.00
2021-07-29	1364.00
2021-07-30	613.00
2021-07-31	77.00
