date	y
2020-03-05	4.00
2020-03-06	6.00
2020-03-07	4.00
2020-03-08	5.00
2020-03-11	31.00
2020-03-12	53.00
2020-03-13	37.00
2020-03-14	54.00
2020-03-15	53.00
2020-03-16	42.00
2020-03-17	186.00
2020-03-18	97.00
2020-03-19	24.00
2020-03-20	47.00
2020-03-21	8.00
2020-03-22	94.00
2020-03-23	64.00
2020-03-24	62.00
2020-03-25	18.00
2020-03-26	49.00
2020-03-27	28.00
2020-03-28	42.00
2020-03-29	37.00
2020-03-30	24.00
2020-03-31	13.00
2020-04-01	54.00
2020-04-02	14.00
2020-04-03	23.00
2020-04-04	7.00
2020-04-05	7.00
2020-04-06	8.00
2020-04-07	14.00
2020-04-08	10.00
2020-04-09	42.00
2020-04-10	15.00
2020-04-11	5.00
2020-04-12	43.00
2020-04-13	20.00
2020-04-14	25.00
2020-04-15	32.00
2020-04-16	10.00
2020-04-17	17.00
2020-04-21	61.00
2020-04-22	47.00
2020-04-23	19.00
2020-04-24	15.00
2020-04-26	11.00
2020-04-28	11.00
2020-04-29	10.00
2020-05-05	10.00
2020-05-08	12.00
2020-05-12	24.00
2020-05-13	13.00
2020-05-14	15.00
2020-05-15	39.00
2020-05-18	13.00
2020-05-19	35.00
2020-06-08	12.00
2020-06-15	14.00
2020-06-20	8.00
2020-06-23	16.00
2020-06-24	41.00
2020-06-26	16.00
2020-06-28	26.00
2020-06-29	26.00
2020-06-30	53.00
2020-07-02	31.00
2020-07-03	33.00
2020-07-05	15.00
2020-07-06	11.00
2020-07-07	23.00
2020-07-08	16.00
2020-07-09	15.00
2020-07-10	32.00
2020-07-13	94.00
2020-07-14	15.00
2020-07-15	32.00
2020-07-16	42.00
2020-07-17	8.00
2020-07-18	16.00
2020-07-23	66.00
2020-07-24	19.00
2020-07-25	32.00
2020-07-27	31.00
2020-07-28	26.00
2020-07-29	63.00
2020-08-01	19.00
2020-08-03	41.00
2020-08-04	19.00
2020-08-05	17.00
2020-08-06	49.00
2020-08-07	16.00
2020-08-10	69.00
2020-08-12	18.00
2020-08-13	52.00
2020-08-16	18.00
2020-08-20	18.00
2020-08-24	15.00
2020-08-27	10.00
2020-08-31	31.00
2020-09-02	24.00
2020-09-04	10.00
2020-09-09	15.00
2020-09-11	24.00
2020-09-14	12.00
2020-09-17	42.00
2020-09-21	46.00
2020-09-23	22.00
2020-09-24	59.00
2020-09-25	21.00
2020-09-26	81.00
2020-09-28	17.00
2020-09-29	48.00
2020-09-30	37.00
2020-10-01	74.00
2020-10-02	39.00
2020-10-04	42.00
2020-10-05	73.00
2020-10-06	25.00
2020-10-07	48.00
2020-10-08	18.00
2020-10-09	160.00
2020-10-10	81.00
2020-10-11	19.00
2020-10-12	55.00
2020-10-13	51.00
2020-10-14	24.00
2020-10-15	82.00
2020-10-16	187.00
2020-10-17	150.00
2020-10-18	99.00
2020-10-19	1055.00
2020-10-20	553.00
2020-10-21	722.00
2020-10-22	1386.00
2020-10-23	1660.00
2020-10-24	991.00
2020-10-25	469.00
2020-10-26	1945.00
2020-10-27	654.00
2020-10-28	460.00
2020-10-29	539.00
2020-10-30	821.00
2020-10-31	1187.00
2020-11-01	732.00
2020-11-02	844.00
2020-11-03	647.00
2020-11-04	481.00
2020-11-05	534.00
2020-11-06	428.00
2020-11-07	611.00
2020-11-08	526.00
2020-11-09	662.00
2020-11-10	471.00
2020-11-11	628.00
2020-11-12	602.00
2020-11-13	629.00
2020-11-14	827.00
2020-11-15	651.00
2020-11-16	806.00
2020-11-17	713.00
2020-11-18	568.00
2020-11-19	655.00
2020-11-20	505.00
2020-11-21	555.00
2020-11-22	538.00
2020-11-23	794.00
2020-11-24	697.00
2020-11-25	738.00
2020-11-26	622.00
2020-11-27	470.00
2020-11-28	581.00
2020-11-29	539.00
2020-11-30	2006.00
2020-12-01	1483.00
2020-12-02	2411.00
2020-12-03	1636.00
2020-12-04	1298.00
2020-12-05	1053.00
2020-12-06	851.00
2020-12-07	860.00
2020-12-08	967.00
2020-12-09	846.00
2020-12-10	1679.00
2020-12-11	2093.00
2020-12-12	840.00
2020-12-13	761.00
2020-12-14	1730.00
2020-12-15	1068.00
2020-12-16	1110.00
2020-12-17	590.00
2020-12-18	616.00
2020-12-19	330.00
2020-12-20	521.00
2020-12-21	498.00
2020-12-22	480.00
2020-12-23	397.00
2020-12-24	359.00
2020-12-25	61.00
2020-12-26	202.00
2020-12-27	367.00
2020-12-28	639.00
2020-12-29	762.00
2020-12-30	354.00
2020-12-31	319.00
2021-01-01	216.00
2021-01-02	718.00
2021-01-03	316.00
2021-01-04	354.00
2021-01-05	242.00
2021-01-06	397.00
2021-01-07	531.00
2021-01-08	246.00
2021-01-09	575.00
2021-01-10	111.00
2021-01-11	224.00
2021-01-12	285.00
2021-01-13	352.00
2021-01-14	127.00
2021-01-15	409.00
2021-01-16	212.00
2021-01-17	377.00
2021-01-18	553.00
2021-01-19	802.00
2021-01-20	546.00
2021-01-21	379.00
2021-01-22	481.00
2021-01-23	317.00
2021-01-24	518.00
2021-01-25	351.00
2021-01-26	572.00
2021-01-27	896.00
2021-01-28	418.00
2021-01-29	571.00
2021-01-30	694.00
2021-01-31	458.00
2021-02-01	1768.00
2021-02-02	1210.00
2021-02-03	2510.00
2021-02-04	2567.00
2021-02-05	968.00
2021-02-06	733.00
2021-02-07	641.00
2021-02-08	832.00
2021-02-09	789.00
2021-02-10	686.00
2021-02-11	674.00
2021-02-12	991.00
2021-02-13	332.00
2021-02-14	581.00
2021-02-15	838.00
2021-02-16	1062.00
2021-02-17	515.00
2021-02-18	730.00
2021-02-19	199.00
2021-02-20	706.00
2021-02-21	394.00
2021-02-22	1864.00
2021-02-23	1936.00
2021-02-24	1911.00
2021-02-25	808.00
2021-02-26	1175.00
2021-02-27	486.00
2021-02-28	478.00
2021-03-01	3489.00
2021-03-02	2902.00
2021-03-03	1797.00
2021-03-04	934.00
2021-03-05	1552.00
2021-03-06	295.00
2021-03-07	384.00
2021-03-08	1692.00
2021-03-09	1163.00
2021-03-10	1174.00
2021-03-11	886.00
2021-03-12	1145.00
2021-03-13	1305.00
2021-03-14	735.00
2021-03-15	2477.00
2021-03-16	2068.00
2021-03-17	1411.00
2021-03-18	1294.00
2021-03-19	1939.00
2021-03-20	925.00
2021-03-21	620.00
2021-03-22	2683.00
2021-03-23	2318.00
2021-03-24	1870.00
2021-03-25	2151.00
2021-03-26	1809.00
2021-03-27	733.00
2021-03-28	1020.00
2021-03-29	2771.00
2021-03-30	3564.00
2021-03-31	1837.00
2021-04-01	2380.00
2021-04-02	2842.00
2021-04-03	2443.00
2021-04-04	334.00
2021-04-05	863.00
2021-04-06	4951.00
2021-04-07	1678.00
2021-04-08	2979.00
2021-04-09	2209.00
2021-04-10	2332.00
2021-04-11	848.00
2021-04-12	3558.00
2021-04-13	2357.00
2021-04-14	2341.00
2021-04-15	2854.00
2021-04-16	3141.00
2021-04-17	1922.00
2021-04-18	929.00
2021-04-19	4886.00
2021-04-20	1938.00
