date	y
2021-01-06	416.00
2021-01-07	565.00
2021-01-08	328.00
2021-01-09	203.00
2021-01-10	164.00
2021-01-11	1289.00
2021-01-12	1032.00
2021-01-13	1213.00
2021-01-14	851.00
2021-01-15	717.00
2021-01-16	157.00
2021-01-17	50.00
2021-01-18	382.00
2021-01-19	956.00
2021-01-20	463.00
2021-01-21	698.00
2021-01-22	1061.00
2021-01-23	236.00
2021-01-25	1660.00
2021-01-26	1411.00
2021-01-27	1696.00
2021-01-28	982.00
2021-01-29	1185.00
2021-01-30	695.00
2021-01-31	341.00
2021-02-01	27.00
2021-02-02	89.00
2021-02-09	31.00
2021-02-10	32.00
2021-02-11	31.00
2021-02-12	59.00
2021-02-14	58.00
2021-02-15	31.00
2021-03-08	29.00
2021-03-10	27.00
2021-03-29	34.00
2021-04-07	32.00
2021-04-12	123.00
2021-04-14	27.00
2021-04-15	157.00
2021-05-21	41.00
2021-07-15	41.00
