date	y
2020-08-24	14.00
2020-10-06	14.00
2021-04-30	36.00
2021-05-08	36.00
2021-05-09	32.00
2021-05-14	36.00
2021-05-15	31.00
2021-05-18	20.00
2021-05-27	31.00
2021-05-28	61.00
2021-05-30	32.00
2021-05-31	103.00
2021-06-01	28.00
2021-06-02	115.00
2021-06-03	100.00
2021-06-08	29.00
2021-06-13	40.00
2021-06-14	35.00
2021-06-15	56.00
2021-06-16	37.00
2021-06-17	24.00
2021-06-19	38.00
2021-06-20	36.00
2021-06-21	36.00
2021-06-26	31.00
2021-06-27	61.00
2021-06-29	38.00
2021-06-30	33.00
2021-07-01	60.00
2021-07-02	39.00
2021-07-05	30.00
2021-07-06	171.00
2021-07-07	193.00
2021-07-10	40.00
2021-07-12	26.00
