date	y
2020-02-27	8.00
2020-03-22	9.00
2020-03-23	5.00
2020-03-25	11.00
2020-03-27	12.00
2020-03-29	54.00
2020-03-30	7.00
2020-03-31	9.00
2020-04-02	5.00
2020-04-05	7.00
2020-04-09	14.00
2020-04-10	8.00
2020-04-19	9.00
2020-04-20	56.00
2020-04-23	37.00
2020-04-24	32.00
2020-04-25	68.00
2020-04-26	10.00
2020-04-27	27.00
2020-05-01	8.00
2020-05-02	33.00
2020-05-03	21.00
2020-05-04	30.00
2020-05-05	10.00
2020-05-06	9.00
2020-05-08	20.00
2020-05-09	14.00
2020-05-11	20.00
2020-05-12	8.00
2020-05-13	15.00
2020-05-14	44.00
2020-05-16	48.00
2020-05-17	11.00
2020-05-18	19.00
2020-05-20	11.00
2020-05-22	19.00
2020-05-23	12.00
2020-05-24	26.00
2020-05-27	22.00
2020-05-29	17.00
2020-05-30	8.00
2020-05-31	16.00
2020-06-01	24.00
2020-06-02	25.00
2020-06-03	12.00
2020-06-09	15.00
2020-06-10	16.00
2020-06-11	38.00
2020-06-12	45.00
2020-06-13	62.00
2020-06-16	26.00
2020-06-17	24.00
2020-06-22	18.00
2020-06-23	17.00
2020-06-24	31.00
2020-06-25	10.00
2020-06-26	25.00
2020-06-27	31.00
2020-06-29	46.00
2020-06-30	23.00
2020-07-01	52.00
2020-07-02	13.00
2020-07-03	11.00
2020-07-04	13.00
2020-07-05	13.00
2020-07-06	17.00
2020-07-07	65.00
2020-07-08	42.00
2020-07-10	35.00
2020-07-12	32.00
2020-07-16	17.00
2020-07-17	43.00
2020-07-18	16.00
2020-07-20	27.00
2020-07-22	21.00
2020-07-25	17.00
2020-07-27	10.00
2020-08-03	32.00
2020-08-04	14.00
2020-08-06	17.00
2020-08-07	27.00
2020-08-08	20.00
2020-08-11	49.00
2020-08-12	20.00
2020-08-15	15.00
2020-08-17	9.00
2020-08-21	17.00
2020-08-31	16.00
2020-09-01	19.00
2020-09-03	16.00
2020-09-05	17.00
2020-10-05	31.00
2020-10-12	108.00
2020-11-12	22.00
2020-11-15	23.00
2020-11-17	21.00
2020-11-23	39.00
2020-11-24	65.00
2020-11-25	44.00
2020-11-26	22.00
2020-11-30	22.00
2020-12-01	43.00
2020-12-02	19.00
2020-12-03	179.00
2020-12-04	52.00
2020-12-06	25.00
2020-12-07	48.00
2020-12-11	64.00
2020-12-16	45.00
2020-12-17	105.00
2020-12-18	49.00
2020-12-19	27.00
2020-12-20	55.00
2020-12-21	74.00
2020-12-22	55.00
2020-12-23	79.00
2020-12-24	27.00
2020-12-25	26.00
2020-12-27	61.00
2020-12-28	86.00
2020-12-29	344.00
2020-12-30	37.00
2020-12-31	52.00
2021-01-01	39.00
2021-01-02	130.00
2021-01-03	298.00
2021-01-04	77.00
2021-01-05	124.00
2021-01-06	86.00
2021-01-07	1309.00
2021-01-08	1213.00
2021-01-09	169.00
2021-01-10	390.00
2021-01-11	653.00
2021-01-12	254.00
2021-01-13	584.00
2021-01-14	452.00
2021-01-15	171.00
2021-01-17	33.00
2021-01-19	236.00
2021-01-20	101.00
2021-01-21	33.00
2021-01-22	67.00
2021-01-23	33.00
2021-01-25	226.00
2021-01-26	108.00
2021-01-27	361.00
2021-01-28	191.00
2021-01-30	34.00
2021-01-31	66.00
2021-02-01	112.00
2021-02-03	37.00
2021-02-04	32.00
2021-02-05	96.00
2021-02-08	66.00
2021-02-09	35.00
2021-02-10	35.00
2021-02-11	113.00
2021-02-12	37.00
2021-02-13	98.00
2021-02-15	70.00
2021-02-16	271.00
2021-02-17	165.00
2021-02-18	35.00
2021-02-19	37.00
2021-02-20	35.00
2021-02-22	109.00
2021-02-24	30.00
2021-02-25	30.00
2021-03-02	111.00
2021-03-03	32.00
2021-03-04	61.00
2021-03-05	30.00
2021-03-06	71.00
2021-03-08	39.00
2021-03-11	33.00
2021-03-12	34.00
2021-03-13	33.00
2021-03-15	65.00
2021-03-17	29.00
2021-06-20	42.00
2021-06-28	40.00
2021-06-29	43.00
2021-07-05	42.00
2021-07-15	42.00
2021-07-17	82.00
2021-07-19	212.00
2021-07-20	121.00
2021-07-21	81.00
