date	y
2020-03-24	21.00
2020-03-25	42.00
2020-03-28	40.00
2020-04-08	12.00
2020-04-10	9.00
2020-05-20	10.00
2020-06-01	9.00
2020-06-02	8.00
2020-06-03	11.00
2020-06-04	21.00
2020-06-05	108.00
2020-06-06	37.00
2020-06-09	36.00
2020-06-10	48.00
2020-06-11	61.00
2020-06-12	10.00
2020-06-13	12.00
2020-06-15	20.00
2020-06-17	12.00
2020-06-18	29.00
2020-06-22	31.00
2020-06-25	102.00
2020-06-26	35.00
2020-06-27	40.00
2020-06-28	20.00
2020-07-08	10.00
2020-07-10	30.00
2020-07-14	26.00
2020-07-20	29.00
2020-07-21	10.00
2020-07-29	34.00
2020-07-30	17.00
2020-08-04	27.00
2020-08-05	40.00
2020-08-06	35.00
2020-08-10	14.00
2020-08-18	33.00
2020-09-07	52.00
2020-09-09	53.00
2020-09-11	32.00
2020-10-02	30.00
2020-10-05	48.00
2020-10-06	22.00
2020-10-09	16.00
2020-10-13	21.00
2020-10-14	18.00
2020-10-15	31.00
2020-10-19	29.00
2020-10-20	21.00
2020-10-21	14.00
2020-10-22	15.00
2020-10-23	44.00
2020-10-24	19.00
2020-10-25	22.00
2020-10-26	19.00
2020-10-27	40.00
2020-10-28	59.00
2020-11-02	65.00
2020-11-03	61.00
2020-11-04	35.00
2020-11-05	67.00
2020-11-06	76.00
2020-11-09	36.00
2020-11-10	72.00
2020-11-11	21.00
2020-11-12	20.00
2020-11-18	25.00
2020-12-04	48.00
2020-12-06	43.00
2020-12-08	46.00
2020-12-09	24.00
2020-12-12	45.00
2020-12-14	70.00
2020-12-15	39.00
2020-12-17	22.00
2020-12-18	96.00
2020-12-21	93.00
2020-12-22	43.00
2020-12-23	97.00
2020-12-24	95.00
2020-12-26	51.00
2020-12-28	41.00
2021-01-01	57.00
2021-01-02	42.00
2021-01-03	48.00
2021-01-04	108.00
2021-01-05	24.00
2021-01-06	40.00
2021-01-07	79.00
2021-01-08	17.00
2021-01-09	188.00
2021-01-10	101.00
2021-01-11	179.00
2021-01-12	163.00
2021-01-13	207.00
2021-01-14	156.00
2021-01-15	119.00
2021-01-16	134.00
2021-01-17	52.00
2021-01-18	141.00
2021-01-19	29.00
2021-01-20	33.00
2021-01-21	132.00
2021-01-22	122.00
2021-01-23	178.00
2021-01-24	84.00
2021-01-25	145.00
2021-01-26	112.00
2021-01-27	128.00
2021-01-28	35.00
2021-01-29	108.00
2021-01-30	121.00
2021-01-31	25.00
2021-02-01	171.00
2021-02-02	62.00
2021-02-03	70.00
2021-02-04	253.00
2021-02-05	175.00
2021-02-06	190.00
2021-02-07	34.00
2021-02-08	459.00
2021-02-09	207.00
2021-02-10	87.00
2021-02-11	150.00
2021-02-12	199.00
2021-02-13	197.00
2021-02-14	223.00
2021-02-15	236.00
2021-02-16	18.00
2021-02-19	39.00
2021-02-20	33.00
2021-02-23	34.00
2021-02-24	115.00
2021-02-25	36.00
2021-03-01	40.00
2021-03-02	112.00
2021-03-04	147.00
2021-03-05	40.00
2021-03-06	38.00
2021-03-08	72.00
2021-03-09	37.00
2021-03-10	101.00
2021-03-11	180.00
2021-03-12	59.00
2021-03-13	108.00
2021-03-15	72.00
2021-03-16	111.00
2021-03-17	76.00
2021-03-18	71.00
2021-03-19	32.00
2021-03-22	36.00
2021-03-29	73.00
2021-03-31	517.00
2021-04-01	173.00
2021-04-02	210.00
2021-04-03	170.00
2021-04-04	149.00
2021-04-05	437.00
2021-04-06	155.00
2021-04-07	436.00
2021-04-08	566.00
2021-04-09	303.00
2021-04-10	717.00
2021-04-11	184.00
2021-04-12	177.00
2021-04-13	147.00
2021-04-14	279.00
2021-04-15	34.00
2021-04-16	108.00
2021-04-17	35.00
2021-04-19	34.00
2021-04-21	68.00
2021-04-22	43.00
2021-04-23	39.00
2021-04-24	39.00
2021-04-26	64.00
2021-04-27	41.00
2021-04-28	83.00
2021-04-29	88.00
2021-05-06	37.00
2021-05-07	41.00
2021-05-11	74.00
2021-05-12	39.00
2021-05-17	35.00
2021-05-21	41.00
2021-05-25	39.00
2021-06-12	59.00
2021-06-24	53.00
2021-07-01	78.00
2021-07-11	191.00
