date	y
2020-07-11	20.00
2020-07-14	30.00
2020-07-16	12.00
2020-07-25	9.00
2020-08-01	14.00
2020-08-03	14.00
2020-08-06	14.00
2020-08-08	12.00
2020-08-17	36.00
2020-09-01	13.00
2020-09-05	12.00
2020-09-17	16.00
2020-09-26	10.00
2020-10-05	17.00
2020-10-10	5.00
2020-10-15	30.00
2020-10-17	40.00
2020-10-20	52.00
2020-10-26	44.00
2020-10-31	45.00
2020-11-05	23.00
2020-11-09	35.00
2020-11-14	36.00
2020-11-28	19.00
2020-12-05	27.00
2020-12-08	23.00
2020-12-17	20.00
2020-12-24	22.00
2021-01-02	15.00
2021-01-04	25.00
2021-01-11	24.00
2021-01-16	27.00
2021-03-13	214.00
2021-03-14	62.00
2021-06-28	41.00
