date	y
2020-03-07	5.00
2020-03-10	6.00
2020-03-16	10.00
2020-03-19	9.00
2020-03-21	7.00
2020-03-22	18.00
2020-03-29	5.00
2020-03-31	40.00
2020-06-22	92.00
2020-06-23	15.00
2020-06-25	32.00
2020-06-26	49.00
2020-06-27	33.00
2020-06-28	30.00
2020-07-05	13.00
2020-07-09	30.00
2020-07-10	37.00
2020-07-11	33.00
2020-07-15	30.00
2020-07-16	32.00
2020-07-17	52.00
2020-07-27	35.00
2020-08-15	16.00
2020-08-17	97.00
2020-08-18	51.00
2020-08-19	65.00
2020-11-05	34.00
2020-11-07	41.00
2020-11-29	136.00
2020-11-30	340.00
2021-01-04	44.00
2021-01-05	20.00
2021-02-05	215.00
2021-02-06	156.00
2021-04-09	674.00
