date	y
2020-06-22	8.00
2020-06-24	12.00
2020-06-25	9.00
2020-07-11	31.00
2020-09-08	18.00
2020-09-17	19.00
2020-10-06	18.00
2020-11-06	17.00
2020-11-13	17.00
2021-01-03	31.00
2021-01-04	18.00
2021-01-05	47.00
2021-01-07	25.00
2021-01-12	45.00
2021-01-14	23.00
2021-01-20	27.00
2021-01-21	52.00
2021-01-25	24.00
2021-01-26	52.00
2021-02-01	53.00
2021-02-02	24.00
2021-02-03	24.00
2021-02-04	21.00
2021-02-10	22.00
2021-02-13	103.00
2021-02-15	37.00
2021-02-17	22.00
2021-02-18	39.00
2021-02-20	22.00
2021-02-21	222.00
2021-02-22	275.00
2021-02-23	18.00
2021-02-24	123.00
2021-02-28	40.00
2021-03-01	64.00
2021-03-02	78.00
2021-03-03	63.00
2021-03-04	39.00
2021-03-07	98.00
2021-03-08	47.00
2021-03-09	26.00
2021-03-11	40.00
2021-03-14	69.00
2021-03-15	34.00
2021-03-18	29.00
2021-03-19	100.00
2021-03-22	63.00
2021-03-23	64.00
2021-03-25	69.00
2021-03-30	154.00
2021-04-03	37.00
2021-04-05	70.00
2021-04-07	114.00
2021-04-12	170.00
2021-04-13	36.00
2021-04-18	34.00
2021-04-20	37.00
2021-04-23	72.00
2021-04-26	39.00
2021-04-27	40.00
2021-04-28	64.00
2021-04-30	75.00
2021-05-01	40.00
2021-05-02	77.00
2021-05-03	71.00
2021-05-04	36.00
2021-07-05	42.00
2021-07-06	43.00
2021-07-07	43.00
2021-07-08	43.00
