date	y
2020-03-14	10.00
2020-03-15	35.00
2020-03-16	31.00
2020-03-17	43.00
2020-03-18	7.00
2020-03-19	8.00
2020-03-20	7.00
2020-03-27	29.00
2020-04-03	13.00
2020-04-05	26.00
2020-04-06	15.00
2020-04-07	13.00
2020-04-08	10.00
2020-04-09	35.00
2020-04-10	14.00
2020-04-11	12.00
2020-04-12	19.00
2020-04-15	11.00
2020-04-16	9.00
2020-04-17	9.00
2020-04-18	42.00
2020-04-19	32.00
2020-04-20	27.00
2020-04-21	32.00
2020-04-22	82.00
2020-04-23	206.00
2020-04-24	124.00
2020-04-25	86.00
2020-04-26	206.00
2020-04-27	121.00
2020-04-29	32.00
2020-04-30	27.00
2020-05-01	39.00
2020-05-02	17.00
2020-05-03	18.00
2020-05-04	30.00
2020-05-05	59.00
2020-05-06	49.00
2020-05-07	95.00
2020-05-08	240.00
2020-05-09	150.00
2020-05-12	28.00
2020-05-15	15.00
2020-05-16	12.00
2020-05-17	11.00
2020-05-18	9.00
2020-05-20	19.00
2020-05-21	41.00
2020-05-22	106.00
2020-05-23	103.00
2020-05-24	69.00
2020-05-25	138.00
2020-05-26	73.00
2020-05-27	84.00
2020-05-28	136.00
2020-05-29	149.00
2020-05-30	182.00
2020-05-31	78.00
2020-06-01	72.00
2020-06-02	75.00
2020-06-03	61.00
2020-06-04	66.00
2020-06-05	49.00
2020-06-06	81.00
2020-06-07	29.00
2020-06-08	33.00
2020-06-09	34.00
2020-06-10	51.00
2020-06-11	31.00
2020-06-12	39.00
2020-06-13	105.00
2020-06-14	69.00
2020-06-15	33.00
2020-06-16	53.00
2020-06-17	45.00
2020-06-19	104.00
2020-06-20	31.00
2020-06-21	33.00
2020-06-22	45.00
2020-06-23	44.00
2020-06-26	26.00
2020-06-27	12.00
2020-06-28	11.00
2020-06-29	52.00
2020-06-30	65.00
2020-07-01	116.00
2020-07-02	102.00
2020-07-03	61.00
2020-07-04	102.00
2020-07-05	127.00
2020-07-06	21.00
2020-07-07	140.00
2020-07-08	61.00
2020-07-09	152.00
2020-07-10	173.00
2020-07-11	26.00
2020-07-13	11.00
2020-07-15	20.00
2020-07-16	11.00
2020-07-17	13.00
2020-07-18	30.00
2020-07-19	37.00
2020-07-20	27.00
2020-07-21	15.00
2020-08-02	11.00
2020-08-03	20.00
2020-08-04	101.00
2020-08-05	21.00
2020-08-06	7.00
2020-08-07	25.00
2020-08-08	56.00
2020-08-10	56.00
2020-08-11	74.00
2020-08-12	132.00
2020-08-13	82.00
2020-08-14	33.00
2020-08-15	68.00
2020-08-16	54.00
2020-08-17	68.00
2020-08-18	47.00
2020-08-19	32.00
2020-08-20	128.00
2020-08-21	26.00
2020-08-22	11.00
2020-08-23	11.00
2020-08-24	14.00
2020-09-04	16.00
2020-09-12	9.00
2020-09-20	17.00
2020-10-04	30.00
2020-10-05	33.00
2020-10-06	21.00
2020-10-07	100.00
2020-10-09	32.00
2020-10-11	46.00
2020-10-12	8.00
2020-10-13	37.00
2020-10-14	36.00
2020-10-15	19.00
2020-10-16	32.00
2020-10-17	14.00
2020-10-18	13.00
2020-10-19	15.00
2020-10-20	23.00
2020-10-22	17.00
2020-10-25	22.00
2020-10-27	13.00
2020-10-31	53.00
2020-11-01	4.00
2020-11-02	11.00
2020-11-04	12.00
2020-11-07	13.00
2020-11-10	9.00
2020-11-11	11.00
2020-11-14	10.00
2020-11-18	19.00
2020-11-22	10.00
2020-11-24	38.00
2020-11-26	8.00
2020-11-27	8.00
2020-12-22	162.00
2020-12-23	19.00
2020-12-27	33.00
2020-12-28	61.00
2020-12-29	1240.00
2020-12-30	42.00
2021-01-12	201.00
2021-01-27	33.00
2021-02-01	80.00
2021-02-02	104.00
2021-02-03	155.00
2021-02-05	58.00
2021-02-07	77.00
2021-02-10	21.00
2021-02-11	32.00
2021-02-12	21.00
2021-02-13	13.00
2021-02-14	33.00
2021-02-15	103.00
2021-02-16	184.00
2021-02-17	89.00
2021-02-18	201.00
2021-02-19	146.00
2021-02-20	160.00
2021-02-21	92.00
2021-02-22	123.00
2021-02-23	153.00
2021-02-24	164.00
2021-02-25	180.00
2021-02-26	110.00
2021-02-27	104.00
2021-02-28	36.00
2021-03-01	103.00
2021-03-02	94.00
2021-03-03	161.00
2021-03-04	69.00
2021-03-05	168.00
2021-03-06	122.00
2021-03-07	172.00
2021-03-08	137.00
2021-03-09	130.00
2021-03-10	153.00
2021-03-11	34.00
2021-03-12	108.00
2021-03-13	55.00
2021-03-15	34.00
2021-03-17	70.00
2021-03-18	34.00
2021-03-19	22.00
2021-03-24	56.00
2021-03-25	29.00
2021-04-03	48.00
2021-04-08	142.00
2021-04-09	26.00
2021-04-10	138.00
2021-04-11	63.00
2021-04-12	397.00
2021-04-13	408.00
2021-04-14	128.00
2021-04-18	50.00
2021-04-19	51.00
2021-04-21	150.00
2021-04-22	227.00
2021-04-23	185.00
2021-04-24	172.00
2021-04-25	146.00
2021-04-26	85.00
2021-04-27	162.00
2021-04-28	57.00
2021-04-30	65.00
2021-05-01	88.00
2021-05-02	366.00
2021-05-03	527.00
2021-05-04	112.00
2021-05-05	85.00
2021-05-06	77.00
2021-05-07	281.00
2021-05-08	427.00
2021-05-09	31.00
2021-05-10	202.00
2021-05-12	29.00
2021-05-13	9.00
2021-05-14	36.00
2021-05-16	52.00
2021-05-17	64.00
2021-05-18	32.00
2021-05-19	40.00
2021-05-23	247.00
2021-05-26	33.00
2021-05-27	33.00
2021-05-28	111.00
2021-05-29	33.00
2021-05-30	35.00
2021-06-01	99.00
2021-06-02	34.00
2021-06-06	166.00
2021-06-11	50.00
