date	y
2020-06-10	17.00
2020-07-24	13.00
2020-07-30	9.00
2020-08-11	13.00
2020-08-12	14.00
2020-08-13	10.00
2020-08-14	56.00
2020-08-15	12.00
2020-08-16	25.00
2020-08-17	18.00
2020-08-19	30.00
2020-08-20	48.00
2020-08-21	142.00
2020-08-24	13.00
2020-08-25	80.00
2020-08-26	89.00
2020-08-27	104.00
2020-08-28	87.00
2020-08-29	11.00
2020-08-30	62.00
2020-08-31	31.00
2020-10-17	29.00
2020-10-19	33.00
2020-10-21	27.00
2020-10-22	25.00
2020-11-02	17.00
2020-11-03	79.00
2020-11-25	19.00
2020-12-04	22.00
2020-12-12	39.00
2020-12-13	123.00
2020-12-14	35.00
2020-12-15	124.00
2020-12-16	132.00
2020-12-17	352.00
2020-12-21	85.00
2020-12-22	91.00
2020-12-29	127.00
2020-12-31	22.00
2021-01-02	23.00
2021-01-04	182.00
2021-01-06	53.00
2021-01-07	46.00
2021-01-08	45.00
2021-01-11	181.00
2021-01-12	112.00
2021-01-13	71.00
2021-01-14	155.00
2021-01-15	95.00
2021-01-18	95.00
2021-01-19	124.00
2021-01-21	143.00
2021-01-22	139.00
2021-01-24	37.00
2021-01-25	25.00
2021-01-26	31.00
2021-01-27	91.00
2021-01-28	31.00
2021-01-29	52.00
2021-01-30	46.00
2021-02-02	72.00
2021-02-03	22.00
2021-02-05	57.00
2021-02-07	53.00
2021-02-10	82.00
2021-02-11	26.00
2021-02-13	79.00
2021-02-16	99.00
2021-02-18	51.00
2021-02-19	29.00
2021-02-22	30.00
2021-02-23	23.00
2021-02-24	51.00
2021-02-25	52.00
2021-02-26	90.00
2021-03-08	29.00
2021-03-17	24.00
2021-03-22	80.00
2021-03-23	181.00
2021-03-25	29.00
2021-03-28	26.00
2021-03-30	27.00
2021-04-03	83.00
2021-04-05	38.00
2021-04-06	25.00
2021-04-13	62.00
2021-04-18	32.00
2021-04-20	15.00
2021-04-25	26.00
2021-05-02	34.00
2021-05-03	56.00
2021-05-17	35.00
2021-05-21	38.00
2021-05-27	35.00
2021-06-08	42.00
2021-06-11	73.00
2021-06-13	28.00
2021-06-14	33.00
2021-06-15	227.00
2021-06-16	220.00
2021-06-17	103.00
2021-06-18	73.00
2021-06-20	245.00
2021-06-21	136.00
2021-06-22	564.00
2021-06-23	249.00
2021-06-24	431.00
2021-06-25	135.00
2021-06-26	263.00
2021-06-27	78.00
2021-06-28	204.00
2021-06-30	67.00
2021-07-01	41.00
2021-07-04	41.00
2021-07-05	40.00
2021-07-06	207.00
2021-07-07	336.00
2021-07-09	40.00
