date	y
2020-01-22	1.00
2020-01-23	15.00
2020-01-24	4.00
2020-01-25	8.00
2020-01-26	4.00
2020-01-29	9.00
2020-01-31	4.00
2020-02-01	7.00
2020-02-03	2.00
2020-02-04	5.00
2020-02-07	4.00
2020-02-22	6.00
2020-02-25	31.00
2020-03-01	9.00
2020-03-03	38.00
2020-03-09	8.00
2020-03-11	58.00
2020-03-12	110.00
2020-03-13	164.00
2020-03-14	296.00
2020-03-15	204.00
2020-03-16	172.00
2020-03-17	162.00
2020-03-18	187.00
2020-03-19	75.00
2020-03-20	121.00
2020-03-21	67.00
2020-03-22	23.00
2020-03-23	34.00
2020-03-24	52.00
2020-03-25	52.00
2020-03-26	34.00
2020-03-27	20.00
2020-03-28	116.00
2020-03-29	73.00
2020-03-30	29.00
2020-03-31	16.00
2020-04-01	34.00
2020-04-02	25.00
2020-04-03	10.00
2020-04-04	9.00
2020-04-05	9.00
2020-04-09	7.00
2020-04-11	6.00
2020-04-14	15.00
2020-04-15	12.00
2020-04-16	7.00
2020-04-17	8.00
2020-04-19	14.00
2020-07-24	31.00
2020-07-25	14.00
2020-07-27	16.00
2020-07-30	16.00
2020-09-14	13.00
2020-09-24	18.00
2020-10-04	26.00
2020-10-05	37.00
2020-10-09	56.00
2020-10-11	17.00
2020-10-12	22.00
2020-10-16	40.00
2020-10-20	42.00
2020-10-26	19.00
2020-10-31	15.00
2020-11-03	22.00
2020-11-09	22.00
2020-11-11	42.00
2020-11-14	21.00
2020-11-16	17.00
2020-11-25	50.00
2020-11-29	14.00
2020-11-30	17.00
2020-12-01	15.00
2020-12-03	48.00
2020-12-04	14.00
2020-12-05	62.00
2020-12-08	143.00
2020-12-12	26.00
2020-12-17	47.00
2020-12-19	829.00
2020-12-20	89.00
2020-12-21	87.00
2020-12-22	15.00
2020-12-23	80.00
2020-12-24	196.00
2020-12-25	20.00
2020-12-28	16.00
2020-12-30	110.00
2021-01-02	66.00
2021-01-04	193.00
2021-01-05	205.00
2021-01-06	21.00
2021-01-07	14.00
2021-01-08	87.00
2021-01-09	32.00
2021-01-10	34.00
2021-01-11	30.00
2021-01-12	80.00
2021-01-13	22.00
2021-01-14	14.00
2021-01-15	17.00
2021-01-16	17.00
2021-01-17	38.00
2021-01-19	101.00
2021-01-20	39.00
2021-01-21	19.00
2021-01-22	37.00
2021-01-23	19.00
2021-01-25	32.00
2021-01-27	54.00
2021-01-29	33.00
2021-01-30	37.00
2021-01-31	246.00
2021-02-02	50.00
2021-02-04	119.00
2021-02-05	32.00
2021-02-08	55.00
2021-02-09	449.00
2021-02-10	35.00
2021-02-11	310.00
2021-02-12	66.00
2021-02-13	70.00
2021-02-14	73.00
2021-02-15	245.00
2021-02-16	122.00
2021-02-17	15.00
2021-02-18	51.00
2021-02-22	42.00
2021-02-23	15.00
2021-02-24	118.00
2021-03-01	35.00
2021-03-03	54.00
2021-03-06	44.00
2021-03-09	38.00
2021-03-10	18.00
2021-03-11	187.00
2021-03-12	67.00
2021-03-16	18.00
2021-03-17	19.00
2021-03-20	40.00
2021-03-21	19.00
2021-03-22	40.00
2021-03-28	54.00
2021-04-03	577.00
2021-04-04	75.00
2021-04-05	382.00
2021-04-06	38.00
2021-04-07	601.00
2021-04-09	38.00
2021-04-13	1876.00
2021-04-15	76.00
2021-04-17	41.00
2021-04-18	113.00
2021-04-19	78.00
2021-04-20	71.00
2021-04-21	118.00
2021-04-22	38.00
2021-04-23	153.00
2021-04-24	38.00
2021-04-27	273.00
2021-04-29	38.00
2021-04-30	212.00
2021-05-02	195.00
2021-05-03	109.00
2021-05-04	640.00
2021-05-05	435.00
2021-05-06	967.00
2021-05-07	1540.00
2021-05-08	2442.00
2021-05-09	382.00
2021-05-10	359.00
2021-05-11	1699.00
2021-05-12	1662.00
2021-05-13	1396.00
2021-05-14	1704.00
2021-05-15	2896.00
2021-05-16	1627.00
2021-05-17	726.00
2021-05-18	276.00
2021-05-19	481.00
2021-05-20	1374.00
2021-05-21	275.00
2021-05-22	397.00
2021-05-23	562.00
2021-05-24	243.00
2021-05-25	411.00
2021-05-26	401.00
2021-05-27	438.00
2021-05-29	124.00
2021-05-31	84.00
2021-06-01	41.00
2021-06-02	205.00
2021-06-03	42.00
2021-06-04	81.00
2021-06-06	124.00
2021-06-07	80.00
2021-06-08	405.00
2021-06-09	41.00
2021-06-11	236.00
2021-06-12	209.00
2021-06-13	198.00
2021-06-15	313.00
2021-06-16	69.00
2021-06-17	88.00
2021-06-18	243.00
2021-06-19	366.00
2021-06-20	468.00
2021-06-21	178.00
2021-06-22	124.00
2021-06-23	123.00
2021-06-24	78.00
2021-06-25	79.00
2021-06-26	37.00
2021-06-27	145.00
2021-06-28	81.00
2021-06-29	83.00
2021-06-30	265.00
2021-07-01	355.00
2021-07-03	490.00
2021-07-04	77.00
2021-07-05	124.00
2021-07-08	941.00
2021-07-10	163.00
2021-07-11	38.00
2021-07-12	122.00
2021-07-13	170.00
2021-07-14	203.00
2021-07-15	120.00
2021-07-20	38.00
