date	y
2020-03-16	31.00
2020-03-18	27.00
2020-03-21	6.00
2020-03-24	45.00
2020-03-27	7.00
2020-03-28	16.00
2020-03-30	17.00
2020-03-31	25.00
2020-04-01	25.00
2020-04-06	9.00
2020-04-07	25.00
2020-04-11	18.00
2020-07-12	23.00
2020-08-22	13.00
2020-09-11	38.00
2020-09-13	67.00
2020-09-14	63.00
2020-09-15	121.00
2020-09-20	19.00
2020-09-21	17.00
2020-09-29	13.00
2020-10-13	19.00
2020-10-14	34.00
2020-10-16	40.00
2020-10-19	47.00
2020-10-26	23.00
2020-10-31	45.00
2020-11-02	168.00
2020-11-08	119.00
2020-11-23	71.00
2020-12-01	19.00
2020-12-24	21.00
2021-01-06	104.00
2021-01-07	49.00
2021-01-08	35.00
2021-01-10	26.00
2021-01-23	26.00
2021-01-25	26.00
2021-01-28	54.00
2021-01-29	32.00
2021-01-30	26.00
2021-01-31	25.00
2021-02-01	26.00
2021-02-07	129.00
2021-02-09	26.00
2021-02-10	57.00
2021-02-20	31.00
2021-03-03	69.00
2021-03-04	22.00
2021-03-05	36.00
2021-03-08	93.00
2021-04-24	36.00
2021-04-26	28.00
