date	y
2020-03-22	14.00
2020-03-25	28.00
2020-03-26	11.00
2020-03-27	29.00
2020-03-30	61.00
2020-04-02	12.00
2020-04-04	7.00
2020-04-20	7.00
2020-04-27	10.00
2020-04-30	6.00
2020-05-01	17.00
2020-05-02	10.00
2020-05-04	20.00
2020-05-06	4.00
2020-05-07	59.00
2020-05-11	12.00
2020-07-04	35.00
2020-07-15	14.00
2020-07-16	14.00
2020-07-21	37.00
2020-07-22	8.00
2020-07-24	21.00
2020-07-27	7.00
2020-07-28	14.00
2020-08-06	12.00
2020-08-08	42.00
2020-08-11	17.00
2020-08-14	31.00
2020-08-15	389.00
2020-08-16	36.00
2020-08-17	47.00
2020-08-19	15.00
2020-08-21	25.00
2020-08-22	14.00
2020-08-24	73.00
2020-08-25	36.00
2020-08-26	115.00
2020-08-27	40.00
2020-08-30	11.00
2020-09-01	522.00
2020-09-02	18.00
2020-09-05	12.00
2020-09-06	41.00
2020-09-07	42.00
2020-09-12	18.00
2020-09-15	22.00
2020-09-16	16.00
2020-09-17	111.00
2020-09-30	34.00
2020-10-01	136.00
2020-10-22	30.00
2020-10-26	20.00
2020-10-27	18.00
2020-10-28	59.00
2020-10-29	144.00
2020-11-01	28.00
2020-11-04	33.00
2020-11-06	56.00
2020-11-08	115.00
2020-11-09	78.00
2020-11-10	16.00
2020-11-11	154.00
2020-11-13	171.00
2020-11-14	123.00
2020-11-16	13.00
2020-11-17	22.00
2020-12-03	18.00
2020-12-06	23.00
2020-12-08	313.00
2020-12-09	94.00
2020-12-10	52.00
2020-12-11	217.00
2020-12-12	24.00
2020-12-13	24.00
2020-12-18	25.00
2020-12-20	168.00
2020-12-21	45.00
2020-12-22	152.00
2020-12-24	22.00
2020-12-26	47.00
2020-12-27	262.00
2020-12-28	370.00
2020-12-29	98.00
2020-12-30	103.00
2020-12-31	228.00
2021-01-01	74.00
2021-01-02	54.00
2021-01-13	86.00
2021-01-15	63.00
2021-01-17	18.00
2021-01-18	23.00
2021-01-19	165.00
2021-01-20	33.00
2021-01-21	52.00
2021-01-22	53.00
2021-01-23	24.00
2021-01-24	23.00
2021-01-25	17.00
2021-02-10	24.00
2021-02-13	28.00
2021-02-16	28.00
2021-02-19	36.00
2021-02-20	33.00
2021-02-23	68.00
2021-02-27	35.00
2021-03-01	26.00
2021-03-02	29.00
2021-03-03	26.00
2021-03-05	77.00
2021-03-08	28.00
2021-03-09	87.00
2021-03-15	22.00
2021-03-16	87.00
2021-03-20	33.00
2021-03-22	26.00
2021-03-25	103.00
2021-03-26	136.00
2021-03-27	114.00
2021-03-28	351.00
2021-04-01	26.00
2021-04-02	54.00
2021-04-07	59.00
2021-04-09	37.00
2021-04-10	27.00
2021-04-13	56.00
2021-04-14	66.00
2021-04-15	61.00
2021-04-16	65.00
2021-04-17	143.00
2021-04-20	74.00
2021-04-21	40.00
2021-04-25	37.00
2021-04-26	39.00
2021-04-27	131.00
2021-05-01	36.00
2021-05-02	33.00
2021-05-05	133.00
2021-05-09	149.00
2021-05-11	29.00
2021-05-12	236.00
2021-05-15	30.00
2021-05-28	36.00
2021-05-29	41.00
2021-05-30	76.00
2021-06-02	73.00
2021-06-03	645.00
2021-06-04	150.00
2021-06-06	149.00
2021-06-07	181.00
2021-06-08	630.00
2021-06-09	155.00
2021-06-10	511.00
2021-06-11	120.00
2021-06-12	121.00
2021-06-13	112.00
2021-06-14	529.00
2021-06-15	642.00
2021-06-16	115.00
2021-06-17	39.00
2021-06-23	301.00
2021-06-24	317.00
2021-07-01	75.00
2021-07-02	74.00
