date	y
2020-01-29	4.00
2020-01-30	4.00
2020-02-07	3.00
2020-02-08	1.00
2020-02-13	4.00
2020-02-21	32.00
2020-02-22	4.00
2020-02-23	13.00
2020-02-25	39.00
2020-02-27	9.00
2020-03-10	8.00
2020-03-11	5.00
2020-03-12	35.00
2020-03-14	21.00
2020-03-15	18.00
2020-03-16	17.00
2020-03-18	10.00
2020-03-19	8.00
2020-03-24	7.00
2020-03-26	9.00
2020-03-27	13.00
2020-03-28	6.00
2020-03-29	8.00
2020-03-30	73.00
2020-03-31	46.00
2020-04-02	6.00
2020-04-03	24.00
2020-04-05	7.00
2020-04-07	17.00
2020-04-08	12.00
2020-04-10	12.00
2020-04-13	11.00
2020-04-14	6.00
2020-04-15	17.00
2020-04-16	9.00
2020-04-17	34.00
2020-04-18	18.00
2020-04-19	17.00
2020-04-20	11.00
2020-04-21	22.00
2020-04-23	66.00
2020-04-24	37.00
2020-04-25	27.00
2020-04-26	45.00
2020-04-27	23.00
2020-04-28	53.00
2020-04-29	26.00
2020-04-30	35.00
2020-05-01	150.00
2020-05-02	229.00
2020-05-03	162.00
2020-05-04	295.00
2020-05-05	39.00
2020-05-06	105.00
2020-05-07	148.00
2020-05-11	12.00
2020-05-12	32.00
2020-05-13	43.00
2020-05-14	41.00
2020-05-15	2721.00
2020-05-16	609.00
2020-05-17	1276.00
2020-05-18	2386.00
2020-05-19	1932.00
2020-05-20	94.00
2020-05-23	11.00
2020-05-25	8.00
2020-05-27	12.00
2020-05-30	45.00
2020-06-02	42.00
2020-06-03	21.00
2020-06-05	9.00
2020-06-06	13.00
2020-06-07	41.00
2020-06-10	228.00
2020-06-11	770.00
2020-06-12	65.00
2020-06-13	11.00
2020-06-14	107.00
2020-06-15	9.00
2020-06-16	8.00
2020-06-23	96.00
2020-06-24	405.00
2020-06-25	179.00
2020-06-26	302.00
2020-06-27	246.00
2020-06-28	340.00
2020-06-29	194.00
2020-06-30	25.00
2020-07-01	10.00
2020-07-05	150.00
2020-07-06	55.00
2020-08-10	35.00
2020-08-14	19.00
2020-08-15	20.00
2020-08-16	15.00
2020-08-17	29.00
2020-08-19	54.00
2020-08-20	18.00
2020-08-22	35.00
2020-08-24	76.00
2020-08-25	27.00
2020-08-26	153.00
2020-08-27	109.00
2020-08-28	294.00
2020-08-29	186.00
2020-08-31	16.00
2020-09-02	16.00
2020-09-03	50.00
2020-09-04	34.00
2020-09-06	36.00
2020-09-08	68.00
2020-09-09	48.00
2020-09-10	32.00
2020-09-11	13.00
2020-09-13	63.00
2020-09-14	80.00
2020-09-15	42.00
2020-09-16	61.00
2020-09-17	44.00
2020-09-20	142.00
2020-09-21	15.00
2020-09-22	23.00
2020-09-23	109.00
2020-09-24	54.00
2020-09-25	58.00
2020-09-28	37.00
2020-09-29	818.00
2020-10-05	20.00
2020-10-11	66.00
2020-10-13	78.00
2020-10-17	75.00
2020-10-18	37.00
2020-10-19	246.00
2020-10-20	373.00
2020-10-21	68.00
2020-10-22	99.00
2020-10-23	26.00
2020-10-26	77.00
2020-10-27	220.00
2020-10-28	17.00
2020-10-30	39.00
2020-11-15	101.00
2020-11-16	220.00
2020-11-17	56.00
2020-11-18	199.00
2020-11-19	39.00
2020-11-20	166.00
2020-11-21	149.00
2020-11-22	191.00
2020-11-23	133.00
2020-11-24	183.00
2020-11-25	75.00
2020-11-26	101.00
2020-11-30	54.00
2020-12-02	33.00
2020-12-25	36.00
2020-12-26	383.00
2020-12-27	602.00
2020-12-28	21.00
2020-12-29	571.00
2021-04-27	36.00
2021-06-23	67.00
