date	y
2020-03-22	5.00
2020-03-23	19.00
2020-03-24	10.00
2020-03-25	34.00
2020-03-26	14.00
2020-03-27	5.00
2020-03-28	10.00
2020-04-01	5.00
2020-04-07	6.00
2020-05-06	10.00
2020-05-08	34.00
2020-06-02	26.00
2020-06-03	13.00
2020-06-04	73.00
2020-06-07	14.00
2020-06-08	32.00
2020-06-10	61.00
2020-06-11	12.00
2020-06-12	48.00
2020-06-13	14.00
2020-06-15	28.00
2020-06-16	11.00
2020-06-19	53.00
2020-06-22	10.00
2020-06-25	9.00
2020-06-26	39.00
2020-06-27	34.00
2020-06-28	26.00
2020-06-29	99.00
2020-07-03	66.00
2020-07-05	15.00
2020-07-06	146.00
2020-07-07	32.00
2020-07-10	95.00
2020-07-12	28.00
2020-07-13	30.00
2020-07-17	112.00
2020-07-19	79.00
2020-07-21	313.00
2020-07-23	25.00
2020-07-24	37.00
2020-07-26	43.00
2020-07-27	414.00
2020-07-28	167.00
2020-07-29	58.00
2020-07-31	99.00
2020-08-01	23.00
2020-08-02	108.00
2020-08-05	19.00
2020-08-06	186.00
2020-08-07	29.00
2020-08-09	32.00
2020-08-11	30.00
2020-08-12	46.00
2020-08-13	34.00
2020-08-14	17.00
2020-08-15	38.00
2020-08-16	53.00
2020-08-19	14.00
2020-08-20	67.00
2020-08-21	22.00
2020-08-22	141.00
2020-08-28	94.00
2020-08-29	18.00
2020-10-05	15.00
2020-10-08	16.00
2020-10-23	18.00
2020-10-27	15.00
2020-12-01	90.00
2020-12-09	28.00
2020-12-14	28.00
2020-12-16	30.00
2020-12-18	86.00
2020-12-21	114.00
2020-12-22	29.00
2020-12-23	50.00
2020-12-28	103.00
2020-12-29	29.00
2020-12-30	28.00
2021-01-03	25.00
2021-01-04	61.00
2021-01-05	84.00
2021-01-06	58.00
2021-01-07	29.00
2021-01-08	139.00
2021-01-09	25.00
2021-01-10	79.00
2021-01-11	56.00
2021-01-14	113.00
2021-01-18	124.00
2021-01-24	94.00
2021-01-27	329.00
2021-01-28	60.00
2021-01-29	30.00
2021-01-30	60.00
2021-02-01	94.00
2021-02-03	65.00
2021-02-04	33.00
2021-02-05	30.00
2021-02-06	31.00
2021-02-07	87.00
2021-02-08	24.00
2021-02-09	28.00
2021-02-10	223.00
2021-02-11	219.00
2021-02-13	68.00
2021-02-15	102.00
2021-02-23	29.00
2021-02-24	63.00
2021-02-28	26.00
2021-04-23	26.00
2021-04-26	53.00
2021-04-27	53.00
2021-05-24	149.00
2021-05-25	110.00
2021-05-26	38.00
2021-05-27	2457.00
2021-05-29	149.00
