date	y
2020-04-01	45.00
2020-05-01	304.00
2020-05-27	27.00
2020-06-01	152.00
2020-07-27	152.00
2020-07-28	93.00
2020-08-13	50.00
2020-08-14	16.00
2020-08-17	42.00
2020-09-01	59.00
2020-10-01	14.00
2020-10-06	29.00
2020-10-19	26.00
2020-11-07	15.00
2020-11-15	25.00
2020-11-30	26.00
2020-12-14	47.00
2020-12-15	21.00
2020-12-16	22.00
2020-12-18	51.00
2020-12-19	46.00
2020-12-20	26.00
2020-12-21	74.00
2020-12-22	99.00
2020-12-24	101.00
2020-12-25	126.00
2020-12-27	231.00
2020-12-28	627.00
2020-12-29	259.00
2020-12-30	448.00
2020-12-31	284.00
2021-01-01	42.00
2021-01-02	58.00
2021-01-03	78.00
2021-01-04	435.00
2021-01-05	182.00
2021-01-06	55.00
2021-01-07	313.00
2021-01-08	648.00
2021-01-09	26.00
2021-01-10	49.00
2021-01-11	192.00
2021-01-12	78.00
2021-01-13	107.00
2021-01-14	25.00
2021-01-17	30.00
2021-01-18	76.00
2021-01-21	27.00
2021-01-22	25.00
2021-01-24	26.00
2021-01-25	25.00
2021-02-03	108.00
2021-02-04	24.00
2021-02-05	31.00
2021-02-26	30.00
